id_muestra,metal,resultado
CUAU-AG-M52,Cobre,0.000955813
CUAU-AG-M52,Cromo Total,
CUAU-AG-M52,Hierro,0.286845898
CUAU-AG-M52,Manganeso,0.619448283
CUAU-AG-M52,Mercurio,7.47E-05
CUAU-AG-M52,Níquel,
CUAU-AG-M52,Selenio,
CUAU-AG-M52,Plomo,
MAN-AG-M38,Arsénico,0.0009992
MAN-AG-M38,Bario,0.05180042
MAN-AG-M38,Cadmio,1.91E-06
MAN-AG-M38,Cobre,0.00111297
MAN-AG-M38,Cromo Total,0.00020425
MAN-AG-M38,Hierro,0.00780432
MAN-AG-M38,Manganeso,0.00756429
MAN-AG-M38,Mercurio,
MAN-AG-M38,Níquel,
MAN-AG-M38,Selenio,
MAN-AG-M38,Plomo,
CUAU-AG-M53,Arsénico,0.000790475
CUAU-AG-M53,Bario,0.007941121
CUAU-AG-M53,Cadmio,9.05E-06
CUAU-AG-M53,Cobre,0.001533872
CUAU-AG-M53,Cromo Total,9.42E-05
CUAU-AG-M53,Hierro,0.048584765
CUAU-AG-M53,Manganeso,0.008986642
CUAU-AG-M53,Mercurio,4.32E-05
CUAU-AG-M53,Níquel,0.000773657
CUAU-AG-M53,Selenio,
CUAU-AG-M53,Plomo,
MAN-AG-M39,Arsénico,0.00069587
MAN-AG-M39,Bario,0.08750126
MAN-AG-M39,Cadmio,3.41E-05
MAN-AG-M39,Cobre,0.00035798
MAN-AG-M39,Cromo Total,0.00036802
MAN-AG-M39,Hierro,0.0013257
MAN-AG-M39,Manganeso,0.00032157
MAN-AG-M39,Mercurio,3.18E-05
MAN-AG-M39,Níquel,
MAN-AG-M39,Selenio,0.00075281
MAN-AG-M39,Plomo,
ALZ-AG-01,Arsénico,0.000181
ALZ-AG-01,Bario,0.018133
ALZ-AG-01,Cadmio,3.16E-05
ALZ-AG-01,Cobre,0.002075
ALZ-AG-01,Cromo Total,0.000414
ALZ-AG-01,Hierro,0.008737
ALZ-AG-01,Manganeso,0.000987
ALZ-AG-01,Mercurio,1.62E-05
ALZ-AG-01,Níquel,0.000393
ALZ-AG-01,Selenio,
ALZ-AG-01,Plomo,
MAN-AG-M40,Arsénico,0.00102334
MAN-AG-M40,Bario,0.06650331
MAN-AG-M40,Cadmio,1.09E-05
MAN-AG-M40,Cobre,0.00061206
MAN-AG-M40,Cromo Total,0.00052612
MAN-AG-M40,Hierro,0.00250604
MAN-AG-M40,Manganeso,0.00012447
MAN-AG-M40,Mercurio,2.14E-05
MAN-AG-M40,Níquel,
MAN-AG-M40,Selenio,
MAN-AG-M40,Plomo,0.00113861
ALZ-AG-02,Arsénico,0.000494
ALZ-AG-02,Bario,0.008668
ALZ-AG-02,Cadmio,1.77E-05
ALZ-AG-02,Cobre,0.000902
ALZ-AG-02,Cromo Total,0.00011
ALZ-AG-02,Hierro,0.000914
ALZ-AG-02,Manganeso,0.001298
ALZ-AG-02,Mercurio,3.42E-05
ALZ-AG-02,Níquel,
ALZ-AG-02,Selenio,
ALZ-AG-02,Plomo,
MAN-AG-M41,Arsénico,0.00032563
MAN-AG-M41,Bario,0.08509924
MAN-AG-M41,Cadmio,0.0001229
MAN-AG-M41,Cobre,0.00109993
MAN-AG-M41,Cromo Total,0.00015846
MAN-AG-M41,Hierro,0.00216438
MAN-AG-M41,Manganeso,0.00045905
MAN-AG-M41,Mercurio,1.11E-05
MAN-AG-M41,Níquel,
MAN-AG-M41,Selenio,0.0032724
MAN-AG-M41,Plomo,
MIN-AG-M54,Arsénico,0.000590484
MIN-AG-M54,Bario,0.019747246
MIN-AG-M54,Cadmio,1.05E-05
MIN-AG-M54,Cobre,0.001226302
MIN-AG-M54,Cromo Total,0.000238892
MIN-AG-M54,Hierro,0.004757036
MIN-AG-M54,Manganeso,0.000958552
MIN-AG-M54,Mercurio,0.000441622
MIN-AG-M54,Níquel,
MIN-AG-M54,Selenio,
MIN-AG-M54,Plomo,
MAN-AG-M42,Arsénico,0.00226107
MAN-AG-M42,Bario,0.0921286
MAN-AG-M42,Cadmio,7.10E-06
MAN-AG-M42,Cobre,0.00148412
MAN-AG-M42,Cromo Total,
MAN-AG-M42,Hierro,0.00418466
MAN-AG-M42,Manganeso,0.00010012
MAN-AG-M42,Mercurio,1.03E-05
MAN-AG-M42,Níquel,
MAN-AG-M42,Selenio,
MAN-AG-M42,Plomo,
MIN-AG-M55,Arsénico,0.000256356
MIN-AG-M55,Bario,0.016014239
MIN-AG-M55,Cadmio,7.55E-06
MIN-AG-M55,Cobre,0.000349381
MIN-AG-M55,Cromo Total,5.19E-05
MIN-AG-M55,Hierro,0.010564135
MIN-AG-M55,Manganeso,0.001639273
MIN-AG-M55,Mercurio,3.15E-05
MIN-AG-M55,Níquel,
MIN-AG-M55,Selenio,
MIN-AG-M55,Plomo,
MAN-AG-56,Arsénico,0.000458065
MAN-AG-56,Bario,0.010138776
MAN-AG-56,Cadmio,8.75E-06
MAN-AG-56,Cobre,0.001307477
MAN-AG-56,Cromo Total,0.000165371
MAN-AG-56,Hierro,0.013667416
MAN-AG-56,Manganeso,0.001120545
MAN-AG-56,Mercurio,0.000117378
MAN-AG-56,Níquel,0.000172244
MAN-AG-56,Selenio,
MAN-AG-56,Plomo,
TEC-AG-M16,Arsénico,0.00011639
TEC-AG-M16,Bario,0.01944575
TEC-AG-M16,Cadmio,
TEC-AG-M16,Cobre,0.00016331
TEC-AG-M16,Cromo Total,5.63E-05
TEC-AG-M16,Hierro,0.0115861
TEC-AG-M16,Manganeso,0.00057389
TEC-AG-M16,Mercurio,
TEC-AG-M16,Níquel,
TEC-AG-M16,Selenio,0.00106563
TEC-AG-M16,Plomo,
TEC-AG-M17,Arsénico,0.00234896
TEC-AG-M17,Bario,0.07124979
TEC-AG-M17,Cadmio,
TEC-AG-M17,Cobre,0.00119354
TEC-AG-M17,Cromo Total,7.54E-05
TEC-AG-M17,Hierro,0.00594692
TEC-AG-M17,Manganeso,0.00045847
TEC-AG-M17,Mercurio,
TEC-AG-M17,Níquel,0.00151698
TEC-AG-M17,Selenio,0.0005165
TEC-AG-M17,Plomo,
TEC-AG-M18,Arsénico,0.00282662
TEC-AG-M18,Bario,0.07165492
TEC-AG-M18,Cadmio,
TEC-AG-M18,Cobre,0.00028089
TEC-AG-M18,Cromo Total,0.0001582
TEC-AG-M18,Hierro,0.00290228
TEC-AG-M18,Manganeso,0.00072213
TEC-AG-M18,Mercurio,
TEC-AG-M18,Níquel,
TEC-AG-M18,Selenio,
TEC-AG-M18,Plomo,
TEC-AG-M19,Arsénico,0.00174514
