sum,CVE_LOC,CVE_MUN,CVE_ENT,CVEGEO,CVE_AGEB,system:index
5.303063281298533E-4,0001,001,06,0600100010081,0081,00000000000000000000
2.2559866191667225E-4,0001,001,06,060010001019A,019A,00000000000000000001
1.0705123354643945E-4,0001,001,06,0600100010359,0359,00000000000000000002
7.836059110368445E-4,0001,001,06,0600100010151,0151,00000000000000000003
2.7056701059607164E-4,0001,001,06,0600100010166,0166,00000000000000000004
2.5994875260982263E-4,0001,001,06,0600100010202,0202,00000000000000000005
2.1799522740330193E-4,0001,001,06,0600100010217,0217,00000000000000000006
8.676637575746014E-4,0001,001,06,0600100010255,0255,00000000000000000007
6.054471217758487E-4,0001,001,06,060010001026A,026A,00000000000000000008
8.280367383320633E-5,0001,001,06,0600100010344,0344,00000000000000000009
4.327040989154477E-4,0001,001,06,0600100010274,0274,0000000000000000000a
3.389618133172991E-5,0001,001,06,0600100010363,0363,0000000000000000000b
3.015343076826227E-4,0001,001,06,0600100010378,0378,0000000000000000000c
1.9998705982588578E-4,0001,001,06,0600100010382,0382,0000000000000000000d
2.8415598137486805E-4,0001,001,06,0600100010397,0397,00000000000000000010
6.798799078587862E-6,0001,001,06,060010001040A,040A,00000000000000000011
4.4198703094325633E-4,0001,001,06,0600100010109,0109,00000000000000000012
4.4235814754610214E-4,0001,001,06,0600100010147,0147,00000000000000000013
8.844996213338209E-5,0007,001,06,0600100070240,0240,0000000000000000000e
5.5996159770821895E-5,0007,001,06,0600100070236,0236,00000000000000000014
7.583931030563412E-5,0007,001,06,0600100070221,0221,00000000000000000015
-1.9684521689791886E-4,0035,001,06,060010035033A,033A,0000000000000000000f
-4.627236066263239E-5,0035,001,06,0600100350325,0325,00000000000000000016
2.5690383818459393E-5,0001,002,06,060020001134A,134A,00000000000000000017
3.259617457684289E-5,0001,002,06,0600200011640,1640,00000000000000000018
-5.804133697332809E-5,0001,002,06,0600200011316,1316,00000000000000000019
7.486420625583101E-5,0001,002,06,0600200011320,1320,0000000000000000001a
4.678735088994529E-5,0001,002,06,0600200011373,1373,0000000000000000001b
1.6072053138582274E-5,0001,002,06,060020001159A,159A,0000000000000000001c
-1.4355504499426116E-4,0001,002,06,0600200011617,1617,0000000000000000001d
-3.141182891662276E-5,0001,002,06,0600200011621,1621,0000000000000000001e
-2.2895872881128874E-4,0001,002,06,0600200010676,0676,0000000000000000001f
-3.7143687711952827E-4,0001,002,06,0600200010727,0727,00000000000000000020
8.906141539107311E-5,0001,002,06,0600200011000,1000,00000000000000000021
1.7654944279849938E-4,0001,002,06,0600200010977,0977,00000000000000000022
2.9406834431513037E-4,0001,002,06,0600200011091,1091,00000000000000000023
-3.694182263826666E-4,0001,002,06,0600200011142,1142,00000000000000000024
8.220922821907005E-5,0001,002,06,0600200011195,1195,00000000000000000025
8.220922821907005E-5,0001,002,06,0600200011208,1208,00000000000000000026
5.124681463060346E-4,0001,002,06,0600200011388,1388,00000000000000000027
-1.5057900624449225E-4,0001,002,06,0600200010411,0411,00000000000000000028
6.23177961443057E-4,0001,002,06,0600200010464,0464,00000000000000000029
5.0318729917523614E-5,0001,002,06,0600200011496,1496,0000000000000000002a
2.775466781897631E-4,0001,002,06,0600200010479,0479,0000000000000000002b
4.856747564684277E-4,0001,002,06,0600200010483,0483,0000000000000000002c
3.246594914739077E-4,0001,002,06,0600200011481,1481,0000000000000000002d
8.951050060828295E-5,0001,002,06,0600200010996,0996,0000000000000000002e
1.912718896955848E-4,0001,002,06,0600200010568,0568,0000000000000000002f
4.533623559253722E-4,0001,002,06,0600200010619,0619,00000000000000000030
4.51565943594186E-5,0001,002,06,0600200011693,1693,00000000000000000031
1.603076986476142E-4,0001,002,06,0600200011104,1104,00000000000000000032
-1.3209224232524992E-4,0001,002,06,0600200011068,1068,00000000000000000033
4.979538445238384E-4,0001,002,06,0600200011706,1706,00000000000000000034
-2.4474807563480927E-5,0001,002,06,0600200011689,1689,00000000000000000035
-2.223120370537191E-4,0001,002,06,0600200010708,0708,00000000000000000036
-1.9071900735675843E-4,0001,002,06,0600200011458,1458,00000000000000000037
3.992837796733876E-6,0001,002,06,0600200011570,1570,00000000000000000038
