sum,CVE_LOC,CVE_MUN,CVE_ENT,CVEGEO,CVE_AGEB,system:index
3.4085368635218544E-4,0001,001,06,0600100010081,0081,00000000000000000000
1.433581429539393E-4,0001,001,06,060010001019A,019A,00000000000000000001
6.259611621797336E-5,0001,001,06,0600100010359,0359,00000000000000000002
4.7232452966961924E-4,0001,001,06,0600100010151,0151,00000000000000000003
-5.284660298245999E-5,0001,001,06,0600100010166,0166,00000000000000000004
3.962836852813884E-5,0001,001,06,0600100010202,0202,00000000000000000005
-2.1335325130160572E-5,0001,001,06,0600100010217,0217,00000000000000000006
-5.566047296481912E-5,0001,001,06,0600100010255,0255,00000000000000000007
2.4364224390512268E-4,0001,001,06,060010001026A,026A,00000000000000000008
5.770567616034515E-5,0001,001,06,0600100010344,0344,00000000000000000009
1.828330346407332E-4,0001,001,06,0600100010274,0274,0000000000000000000a
2.1410319332241754E-5,0001,001,06,0600100010363,0363,0000000000000000000b
-2.2051945940259864E-4,0001,001,06,0600100010378,0378,0000000000000000000c
3.5893505156321575E-5,0001,001,06,0600100010382,0382,0000000000000000000d
2.524357955655934E-6,0001,001,06,0600100010397,0397,00000000000000000010
4.369919055797249E-6,0001,001,06,060010001040A,040A,00000000000000000011
-3.0652580359659436E-5,0001,001,06,0600100010109,0109,00000000000000000012
3.0943672388181973E-4,0001,001,06,0600100010147,0147,00000000000000000013
-1.4693602998040075E-4,0007,001,06,0600100070240,0240,0000000000000000000e
-6.87545204359915E-5,0007,001,06,0600100070236,0236,00000000000000000014
-7.4555846919017E-5,0007,001,06,0600100070221,0221,00000000000000000015
-1.8669736820039172E-4,0035,001,06,060010035033A,033A,0000000000000000000f
-2.3097659543611044E-4,0035,001,06,0600100350325,0325,00000000000000000016
6.415771058596285E-5,0001,002,06,060020001134A,134A,00000000000000000017
2.48435643776891E-4,0001,002,06,0600200011640,1640,00000000000000000018
-0.0011939861148856559,0001,002,06,0600200011316,1316,00000000000000000019
-0.001952871196558391,0001,002,06,0600200011320,1320,0000000000000000001a
1.550346124688327E-4,0001,002,06,0600200011373,1373,0000000000000000001b
-4.8448492863621234E-4,0001,002,06,060020001159A,159A,0000000000000000001c
-3.707692232758543E-4,0001,002,06,0600200011617,1617,0000000000000000001d
-1.5385905942913035E-4,0001,002,06,0600200011621,1621,0000000000000000001e
6.969166471092812E-4,0001,002,06,0600200010676,0676,0000000000000000001f
8.177554543469855E-4,0001,002,06,0600200010727,0727,00000000000000000020
2.1524088428569256E-4,0001,002,06,0600200011000,1000,00000000000000000021
4.0380295811816253E-4,0001,002,06,0600200010977,0977,00000000000000000022
7.487195486941907E-4,0001,002,06,0600200011091,1091,00000000000000000023
-7.47112786293627E-4,0001,002,06,0600200011142,1142,00000000000000000024
2.053046738750811E-4,0001,002,06,0600200011195,1195,00000000000000000025
2.053046738750811E-4,0001,002,06,0600200011208,1208,00000000000000000026
6.02996312960509E-4,0001,002,06,0600200011388,1388,00000000000000000027
7.877246857841425E-4,0001,002,06,0600200010411,0411,00000000000000000028
4.005495367071103E-4,0001,002,06,0600200010464,0464,00000000000000000029
5.509445836475621E-5,0001,002,06,0600200011496,1496,0000000000000000002a
-1.3774282366279717E-4,0001,002,06,0600200010479,0479,0000000000000000002b
-0.001085792817883077,0001,002,06,0600200010483,0483,0000000000000000002c
4.663927273452352E-4,0001,002,06,0600200011481,1481,0000000000000000002d
2.1216886807644053E-4,0001,002,06,0600200010996,0996,0000000000000000002e
2.7460550982953333E-4,0001,002,06,0600200010568,0568,0000000000000000002f
0.001290813662841578,0001,002,06,0600200010619,0619,00000000000000000030
5.3992003836874734E-5,0001,002,06,0600200011693,1693,00000000000000000031
2.0136163295207584E-4,0001,002,06,0600200011104,1104,00000000000000000032
0.001179113672599043,0001,002,06,0600200011068,1068,00000000000000000033
7.129558912738715E-4,0001,002,06,0600200011706,1706,00000000000000000034
1.4504077229003632E-4,0001,002,06,0600200011689,1689,00000000000000000035
4.631504665486343E-4,0001,002,06,0600200010708,0708,00000000000000000036
-1.8671721303240295E-4,0001,002,06,0600200011458,1458,00000000000000000037
3.597271243796731E-4,0001,002,06,0600200011570,1570,00000000000000000038
8.849893197832307E-5,0001,002,06,0600200011585,1585,00000000000000000039
0.0015226848386693352,0001,002,06,0600200010290,0290,0000000000000000003a
6.295883072885014E-4,0001,002,06,0600200010318,0318,0000000000000000003b
6.890749780381184E-4,0001,002,06,0600200010337,0337,0000000000000000003c
2.862031920680856E-4,0001,002,06,0600200010407,0407,0000000000000000003d
3.843587219387367E-4,0001,002,06,060020001052A,052A,0000000000000000003e
5.262444701043403E-4,0001,002,06,0600200010680,0680,0000000000000000003f
5.332073625947771E-4,0001,002,06,0600200010712,0712,00000000000000000040
4.09512722645422E-4,0001,002,06,0600200010746,0746,00000000000000000041
1.4005648170563862E-4,0001,002,06,0600200010750,0750,00000000000000000042
1.1885091521755669E-4,0001,002,06,0600200010765,0765,00000000000000000043
-2.5386136809814726E-4,0001,002,06,0600200010816,0816,00000000000000000044
2.8426224946981874E-4,0001,002,06,0600200011087,1087,00000000000000000045
-2.1826056159339604E-4,0001,002,06,0600200011123,1123,00000000000000000046
5.190539629572738E-4,0001,002,06,0600200011157,1157,00000000000000000047
8.345745140074528E-4,0001,002,06,0600200011227,1227,00000000000000000048
1.732258185820997E-4,0001,002,06,0600200011231,1231,00000000000000000049
2.968133938906991E-4,0001,002,06,0600200011250,1250,0000000000000000004a
2.8866535083914074E-4,0001,002,06,0600200011246,1246,0000000000000000004b
3.724172677028545E-4,0001,002,06,0600200011265,1265,0000000000000000004c
2.3660524422194576E-4,0001,002,06,060020001127A,127A,0000000000000000004d
2.642452396009245E-4,0001,002,06,0600200011284,1284,0000000000000000004e
5.947371866107553E-4,0001,002,06,0600200011161,1161,0000000000000000004f
6.399410059670817E-4,0001,002,06,0600200010549,0549,00000000000000000050
4.89553375161051E-4,0001,002,06,0600200010572,0572,00000000000000000051
1.343305365011842E-5,0001,002,06,0600200011551,1551,00000000000000000052
-2.353654503192064E-4,0001,002,06,0600200010801,0801,00000000000000000053
6.469972143958503E-4,0001,002,06,0600200010820,0820,00000000000000000054
7.408128870373163E-4,0001,002,06,0600200010835,0835,00000000000000000055
9.636238246792399E-4,0001,002,06,060020001084A,084A,00000000000000000056
7.72585608971609E-4,0001,002,06,0600200010854,0854,00000000000000000057
2.734872073412119E-4,0001,002,06,0600200010869,0869,00000000000000000058
5.426588881958223E-4,0001,002,06,0600200010873,0873,00000000000000000059
5.015962007774603E-4,0001,002,06,0600200010888,0888,0000000000000000005a
4.559019955464211E-4,0001,002,06,0600200010892,0892,0000000000000000005b
0.0016632429388581836,0001,002,06,060020001091A,091A,0000000000000000005c
0.0010199874389000148,0001,002,06,0600200010924,0924,0000000000000000005d
6.267735162655458E-4,0001,002,06,0600200010943,0943,0000000000000000005e
6.597042867405868E-4,0001,002,06,0600200010958,0958,0000000000000000005f
4.6346764100132717E-4,0001,002,06,0600200010962,0962,00000000000000000060
4.3599277488833976E-4,0001,002,06,0600200011015,1015,00000000000000000061
1.5706368003320725E-4,0001,002,06,060020001102A,102A,00000000000000000062
3.6478273426995535E-4,0001,002,06,0600200011299,1299,00000000000000000063
1.3649129950301641E-4,0001,002,06,0600200011354,1354,00000000000000000064
-4.6101034905925414E-4,0001,002,06,0600200011439,1439,00000000000000000065
-1.0054836804889064E-4,0001,002,06,0600200011462,1462,00000000000000000066
6.100528725694024E-4,0001,002,06,0600200010322,0322,00000000000000000067
0.0022939067879198596,0001,002,06,0600200010021,0021,00000000000000000068
4.028411022997692E-4,0001,002,06,0600200010534,0534,00000000000000000069
3.0484076247492604E-4,0001,002,06,060020001077A,077A,0000000000000000006a
2.803945690815579E-4,0001,002,06,0600200010939,0939,0000000000000000006b
2.565912079521313E-4,0001,002,06,0600200010981,0981,0000000000000000006c
2.3075502475125196E-4,0001,002,06,0600200011547,1547,0000000000000000006d
0.0010307779414367119,0001,002,06,0600200011405,1405,0000000000000000006e
7.962307206059621E-4,0001,002,06,0600200010341,0341,0000000000000000006f
4.897902499650903E-5,0001,002,06,0600200011212,1212,00000000000000000070
8.384051264732266E-4,0001,002,06,0600200010356,0356,00000000000000000071
-5.707750220465488E-5,0001,002,06,060020001141A,141A,00000000000000000072
0.0012463679530601373,0001,002,06,0600200010394,0394,00000000000000000073
6.411180183606122E-4,0001,002,06,0600200011509,1509,00000000000000000074
1.5263233898665736E-4,0001,002,06,0600200011335,1335,00000000000000000075
4.029916095035526E-5,0001,002,06,0600200011392,1392,00000000000000000076
-1.5558540591332126E-4,0001,002,06,0600200011513,1513,00000000000000000077
-7.471126954696672E-5,0001,002,06,0600200011528,1528,00000000000000000078
0.001451846951499626,0001,002,06,0600200011301,1301,00000000000000000079
8.385692926305507E-4,0001,002,06,0600200011053,1053,0000000000000000007a
6.212379363050166E-4,0001,002,06,0600200011072,1072,0000000000000000007b
5.900781478604337E-5,0001,002,06,0600200010731,0731,0000000000000000007c
1.9435142403457728E-4,0001,002,06,0600200010784,0784,0000000000000000007d
1.9626784116436602E-4,0001,002,06,0600200010799,0799,0000000000000000007e
-0.0010739029902811412,0001,002,06,0600200010638,0638,0000000000000000007f
1.6707357628021138E-4,0001,002,06,060020001166A,166A,00000000000000000080
1.713273390882573E-4,0001,002,06,0600200011566,1566,00000000000000000081
-5.177311045900695E-4,0001,002,06,0600200011602,1602,00000000000000000082
-5.041349526305143E-4,0001,002,06,0600200011176,1176,00000000000000000083
6.633553052233881E-4,0001,002,06,0600200011532,1532,00000000000000000084
-1.4621052989832625E-4,0001,002,06,0600200011636,1636,00000000000000000085
1.1041457027290163E-4,0001,002,06,0600200011369,1369,00000000000000000086
-3.503379073313581E-5,0001,002,06,0600200011424,1424,00000000000000000087
1.5728937913227008E-4,0001,002,06,0600200011477,1477,00000000000000000088
6.417044733088911E-4,0001,002,06,0600200010623,0623,00000000000000000089
3.850766231581524E-4,0001,002,06,0600200011674,1674,0000000000000000008a
-2.1055378495967353E-4,0001,002,06,0600200011710,1710,0000000000000000008b
2.4919386386249876E-5,0001,002,06,0600200010074,0074,0000000000000000008c
3.25952453189899E-4,0001,002,06,0600200011655,1655,0000000000000000008d
4.380394146228579E-5,0001,002,06,060020001006A,006A,0000000000000000008e
1.2413271500726614E-5,0001,003,06,0600300010141,0141,0000000000000000008f
2.585426935335291E-4,0001,003,06,060030001018A,018A,00000000000000000090
7.447962900435968E-5,0001,003,06,0600300010175,0175,00000000000000000091
0.001322426939398841,0001,003,06,0600300010048,0048,00000000000000000092
0.0015563143617210663,0001,003,06,0600300010090,0090,00000000000000000093
4.2861657298216155E-4,0001,003,06,0600300010137,0137,00000000000000000094
1.5353207680128179E-4,0001,003,06,0600300010156,0156,00000000000000000095
1.3372897941389438E-5,0001,003,06,0600300010194,0194,00000000000000000097
0.001418518915201671,0001,003,06,0600300010118,0118,00000000000000000098
4.072050142738893E-5,0001,003,06,0600300010160,0160,0000000000000000009a
0.001705333376586347,0001,003,06,0600300010103,0103,0000000000000000009b
6.991122389000595E-4,0001,003,06,0600300010067,0067,0000000000000000009c
0.001213601119755073,0001,003,06,0600300010122,0122,0000000000000000009d
5.98137919611173E-5,0001,003,06,0600300010207,0207,0000000000000000009e
0.001682707513931132,0001,003,06,0600300010052,0052,0000000000000000009f
0.0013276839179349356,0035,003,06,0600300350071,0071,00000000000000000096
0.0015640295328785702,0035,003,06,0600300350086,0086,00000000000000000099
2.3731675442165829E-4,0001,004,06,0600400010100,0100,000000000000000000a0
9.210960718330764E-5,0001,004,06,0600400010187,0187,000000000000000000a1
-4.973447271304052E-5,0001,004,06,0600400010242,0242,000000000000000000a2
-1.9210194153017164E-4,0001,004,06,0600400010083,0083,000000000000000000a3
-9.636643968293046E-5,0001,004,06,0600400010238,0238,000000000000000000a4
1.0585141644624523E-4,0001,004,06,0600400010257,0257,000000000000000000a5
2.5780657990333815E-4,0001,004,06,0600400010172,0172,000000000000000000a6
-9.216579392085587E-5,0001,004,06,0600400010153,0153,000000000000000000a9
-7.320354830487549E-6,0001,004,06,0600400010191,0191,000000000000000000ab
0.001258559228802003,0015,004,06,0600400150223,0223,000000000000000000a7
8.51057626992656E-4,0015,004,06,0600400150204,0204,000000000000000000a8
8.07395757724763E-4,0015,004,06,0600400150219,0219,000000000000000000aa
8.692560065696756E-5,0001,005,06,0600500010343,0343,000000000000000000ad
4.28425169951151E-4,0001,005,06,0600500010235,0235,000000000000000000ae
