sum,CVE_LOC,CVE_MUN,CVE_ENT,CVEGEO,CVE_AGEB,system:index
-6.434712272628371E-5,0001,001,06,0600100010081,0081,00000000000000000000
-3.953495583717267E-6,0001,001,06,060010001019A,019A,00000000000000000001
-1.7804489309255594E-6,0001,001,06,0600100010359,0359,00000000000000000002
-8.825444014984686E-6,0001,001,06,0600100010151,0151,00000000000000000003
6.219776603865652E-4,0001,001,06,0600100010166,0166,00000000000000000004
7.692376985104397E-5,0001,001,06,0600100010202,0202,00000000000000000005
2.94503176532846E-4,0001,001,06,0600100010217,0217,00000000000000000006
8.599579320820026E-4,0001,001,06,0600100010255,0255,00000000000000000007
0.001022446003260044,0001,001,06,060010001026A,026A,00000000000000000008
-5.325427518907546E-6,0001,001,06,0600100010344,0344,00000000000000000009
5.25308434346019E-5,0001,001,06,0600100010274,0274,0000000000000000000a
-1.8436492282739985E-6,0001,001,06,0600100010363,0363,0000000000000000000b
3.358587466094576E-4,0001,001,06,0600100010378,0378,0000000000000000000c
5.4502381461622294E-5,0001,001,06,0600100010382,0382,0000000000000000000d
2.491822277573909E-4,0001,001,06,0600100010397,0397,00000000000000000010
-8.249631118754321E-7,0001,001,06,060010001040A,040A,00000000000000000011
3.563260707415884E-4,0001,001,06,0600100010109,0109,00000000000000000012
-3.4393886067522313E-5,0001,001,06,0600100010147,0147,00000000000000000013
4.827065324381613E-4,0007,001,06,0600100070240,0240,0000000000000000000e
3.386885806717835E-4,0007,001,06,0600100070236,0236,00000000000000000014
4.51329005895667E-4,0007,001,06,0600100070221,0221,00000000000000000015
0.001229894875658383,0035,001,06,060010035033A,033A,0000000000000000000f
0.0015267873829223856,0035,001,06,0600100350325,0325,00000000000000000016
1.5848828036211214E-4,0001,002,06,060020001134A,134A,00000000000000000017
1.9973191052295535E-4,0001,002,06,0600200011640,1640,00000000000000000018
0.0017541976318207807,0001,002,06,0600200011316,1316,00000000000000000019
0.001358087779302436,0001,002,06,0600200011320,1320,0000000000000000001a
7.760147788786554E-4,0001,002,06,0600200011373,1373,0000000000000000001b
6.281133052603494E-4,0001,002,06,060020001159A,159A,0000000000000000001c
7.072914201601603E-5,0001,002,06,0600200011617,1617,0000000000000000001d
1.9015876157327255E-4,0001,002,06,0600200011621,1621,0000000000000000001e
-9.097893307049104E-5,0001,002,06,0600200010676,0676,0000000000000000001f
-7.757739820051618E-4,0001,002,06,0600200010727,0727,00000000000000000020
4.051542243061277E-4,0001,002,06,0600200011000,1000,00000000000000000021
2.1173237333919182E-4,0001,002,06,0600200010977,0977,00000000000000000022
6.134750835234733E-4,0001,002,06,0600200011091,1091,00000000000000000023
-1.3182863071336946E-4,0001,002,06,0600200011142,1142,00000000000000000024
5.071624971587588E-4,0001,002,06,0600200011195,1195,00000000000000000025
5.071624971587588E-4,0001,002,06,0600200011208,1208,00000000000000000026
-3.7098237977394006E-5,0001,002,06,0600200011388,1388,00000000000000000027
1.69023076599332E-4,0001,002,06,0600200010411,0411,00000000000000000028
0.0036814766538239107,0001,002,06,0600200010464,0464,00000000000000000029
-1.658741467123245E-6,0001,002,06,0600200011496,1496,0000000000000000002a
0.00208783328972201,0001,002,06,0600200010479,0479,0000000000000000002b
0.0033806042476705283,0001,002,06,0600200010483,0483,0000000000000000002c
4.118367470153731E-4,0001,002,06,0600200011481,1481,0000000000000000002d
4.039479348262241E-4,0001,002,06,0600200010996,0996,0000000000000000002e
5.906621694004303E-4,0001,002,06,0600200010568,0568,0000000000000000002f
1.971115850036247E-5,0001,002,06,0600200010619,0619,00000000000000000030
5.226139230203416E-5,0001,002,06,0600200011693,1693,00000000000000000031
-2.5906504999037422E-5,0001,002,06,0600200011104,1104,00000000000000000032
5.617393467765631E-4,0001,002,06,0600200011068,1068,00000000000000000033
7.679073429301645E-5,0001,002,06,0600200011706,1706,00000000000000000034
5.718525459684541E-4,0001,002,06,0600200011689,1689,00000000000000000035
1.358102470544031E-4,0001,002,06,0600200010708,0708,00000000000000000036
3.954584038612552E-5,0001,002,06,0600200011458,1458,00000000000000000037
2.532032120666957E-4,0001,002,06,0600200011570,1570,00000000000000000038
8.179458158183628E-5,0001,002,06,0600200011585,1585,00000000000000000039
7.557970261087444E-4,0001,002,06,0600200010290,0290,0000000000000000003a
5.125525613672437E-5,0001,002,06,0600200010318,0318,0000000000000000003b
7.694947844566742E-4,0001,002,06,0600200010337,0337,0000000000000000003c
9.217329721094269E-4,0001,002,06,0600200010407,0407,0000000000000000003d
7.234896862609424E-4,0001,002,06,060020001052A,052A,0000000000000000003e
-1.3126858407436535E-4,0001,002,06,0600200010680,0680,0000000000000000003f
4.113988591052003E-4,0001,002,06,0600200010712,0712,00000000000000000040
2.9781295115842335E-4,0001,002,06,0600200010746,0746,00000000000000000041
4.254345794671415E-4,0001,002,06,0600200010750,0750,00000000000000000042
5.865941814003544E-4,0001,002,06,0600200010765,0765,00000000000000000043
5.876698629705808E-5,0001,002,06,0600200010816,0816,00000000000000000044
1.7100903458536679E-4,0001,002,06,0600200011087,1087,00000000000000000045
4.1374773289449564E-5,0001,002,06,0600200011123,1123,00000000000000000046
3.301343766292074E-4,0001,002,06,0600200011157,1157,00000000000000000047
3.71861022545235E-4,0001,002,06,0600200011227,1227,00000000000000000048
4.279183569777028E-4,0001,002,06,0600200011231,1231,00000000000000000049
7.005645061091484E-4,0001,002,06,0600200011250,1250,0000000000000000004a
3.8893637484269247E-4,0001,002,06,0600200011246,1246,0000000000000000004b
-1.9928407032981333E-4,0001,002,06,0600200011265,1265,0000000000000000004c
-8.88799992457755E-5,0001,002,06,060020001127A,127A,0000000000000000004d
1.6471327673294524E-4,0001,002,06,0600200011284,1284,0000000000000000004e
3.254000373463835E-4,0001,002,06,0600200011161,1161,0000000000000000004f
7.204390994447423E-4,0001,002,06,0600200010549,0549,00000000000000000050
4.710161295263325E-4,0001,002,06,0600200010572,0572,00000000000000000051
6.70110064839919E-5,0001,002,06,0600200011551,1551,00000000000000000052
4.8555593722484004E-4,0001,002,06,0600200010801,0801,00000000000000000053
3.032342817512429E-4,0001,002,06,0600200010820,0820,00000000000000000054
2.1839835132744865E-4,0001,002,06,0600200010835,0835,00000000000000000055
7.137202351756764E-4,0001,002,06,060020001084A,084A,00000000000000000056
6.42602765578213E-4,0001,002,06,0600200010854,0854,00000000000000000057
4.3392872587703576E-4,0001,002,06,0600200010869,0869,00000000000000000058
6.787174605205133E-4,0001,002,06,0600200010873,0873,00000000000000000059
0.0011928327551710847,0001,002,06,0600200010888,0888,0000000000000000005a
9.203219631024823E-4,0001,002,06,0600200010892,0892,0000000000000000005b
5.459520862259392E-4,0001,002,06,060020001091A,091A,0000000000000000005c
1.1253064521936812E-4,0001,002,06,0600200010924,0924,0000000000000000005d
0.0018288034237621622,0001,002,06,0600200010943,0943,0000000000000000005e
6.434776269152259E-4,0001,002,06,0600200010958,0958,0000000000000000005f
0.0014143782003709414,0001,002,06,0600200010962,0962,00000000000000000060
8.356549564858027E-4,0001,002,06,0600200011015,1015,00000000000000000061
7.223754743960959E-4,0001,002,06,060020001102A,102A,00000000000000000062
3.3712008201557754E-4,0001,002,06,0600200011299,1299,00000000000000000063
6.904180855651438E-4,0001,002,06,0600200011354,1354,00000000000000000064
-5.80974193857836E-5,0001,002,06,0600200011439,1439,00000000000000000065
1.629484538203537E-4,0001,002,06,0600200011462,1462,00000000000000000066
3.3715885788186955E-4,0001,002,06,0600200010322,0322,00000000000000000067
0.0013945521356272124,0001,002,06,0600200010021,0021,00000000000000000068
3.6595348733145153E-4,0001,002,06,0600200010534,0534,00000000000000000069
8.274290808274028E-4,0001,002,06,060020001077A,077A,0000000000000000006a
8.229837993411587E-4,0001,002,06,0600200010939,0939,0000000000000000006b
3.326354830327871E-6,0001,002,06,0600200010981,0981,0000000000000000006c
2.9110903550401624E-5,0001,002,06,0600200011547,1547,0000000000000000006d
-1.0442810698384787E-4,0001,002,06,0600200011405,1405,0000000000000000006e
0.0010596002438139872,0001,002,06,0600200010341,0341,0000000000000000006f
2.3467909710214794E-4,0001,002,06,0600200011212,1212,00000000000000000070
0.001050031123679528,0001,002,06,0600200010356,0356,00000000000000000071
0.0010705046531062047,0001,002,06,060020001141A,141A,00000000000000000072
0.0021272064896665863,0001,002,06,0600200010394,0394,00000000000000000073
1.019734684012674E-5,0001,002,06,0600200011509,1509,00000000000000000074
5.912595647688167E-4,0001,002,06,0600200011335,1335,00000000000000000075
2.010330194519757E-4,0001,002,06,0600200011392,1392,00000000000000000076
-1.7661883335541096E-4,0001,002,06,0600200011513,1513,00000000000000000077
8.855815775852711E-5,0001,002,06,0600200011528,1528,00000000000000000078
4.926405381341608E-4,0001,002,06,0600200011301,1301,00000000000000000079
7.927439340836237E-5,0001,002,06,0600200011053,1053,0000000000000000007a
2.448790520332568E-4,0001,002,06,0600200011072,1072,0000000000000000007b
-5.443532014765566E-4,0001,002,06,0600200010731,0731,0000000000000000007c
9.517597862352501E-4,0001,002,06,0600200010784,0784,0000000000000000007d
0.0010926867952795187,0001,002,06,0600200010799,0799,0000000000000000007e
2.681381176962146E-4,0001,002,06,0600200010638,0638,0000000000000000007f
1.3949510129765126E-4,0001,002,06,060020001166A,166A,00000000000000000080
5.101459903481671E-4,0001,002,06,0600200011566,1566,00000000000000000081
1.5040613836796537E-4,0001,002,06,0600200011602,1602,00000000000000000082
5.032993189695729E-4,0001,002,06,0600200011176,1176,00000000000000000083
3.8648589250995754E-4,0001,002,06,0600200011532,1532,00000000000000000084
1.5445470300262215E-4,0001,002,06,0600200011636,1636,00000000000000000085
5.408034948859588E-4,0001,002,06,0600200011369,1369,00000000000000000086
0.002115103988858418,0001,002,06,0600200011424,1424,00000000000000000087
-3.40540593387809E-6,0001,002,06,0600200011477,1477,00000000000000000088
0.0013265054364969935,0001,002,06,0600200010623,0623,00000000000000000089
4.924149517195038E-4,0001,002,06,0600200011674,1674,0000000000000000008a
-7.003894029064549E-6,0001,002,06,0600200011710,1710,0000000000000000008b
2.4120642600938843E-5,0001,002,06,0600200010074,0074,0000000000000000008c
5.975676399740622E-4,0001,002,06,0600200011655,1655,0000000000000000008d
1.279797154884181E-4,0001,002,06,060020001006A,006A,0000000000000000008e
-2.3784273570760065E-5,0001,003,06,0600300010141,0141,0000000000000000008f
-5.492106838396954E-4,0001,003,06,060030001018A,018A,00000000000000000090
-1.427056414245604E-4,0001,003,06,0600300010175,0175,00000000000000000091
-0.0015047216634562002,0001,003,06,0600300010048,0048,00000000000000000092
-0.001847108415600423,0001,003,06,0600300010090,0090,00000000000000000093
-5.801516639961641E-4,0001,003,06,0600300010137,0137,00000000000000000094
-3.513044517242535E-4,0001,003,06,0600300010156,0156,00000000000000000095
-2.8407449164122177E-5,0001,003,06,0600300010194,0194,00000000000000000097
-4.413454344148808E-4,0001,003,06,0600300010118,0118,00000000000000000098
-3.1778791637770026E-5,0001,003,06,0600300010160,0160,0000000000000000009a
-0.001688971218535733,0001,003,06,0600300010103,0103,0000000000000000009b
-7.619045937623459E-4,0001,003,06,0600300010067,0067,0000000000000000009c
-0.0011467993223851613,0001,003,06,0600300010122,0122,0000000000000000009d
-4.36144376247108E-5,0001,003,06,0600300010207,0207,0000000000000000009e
-0.0012700763201129784,0001,003,06,0600300010052,0052,0000000000000000009f
5.988655205756581E-5,0035,003,06,0600300350071,0071,00000000000000000096
-2.4916495115011783E-4,0035,003,06,0600300350086,0086,00000000000000000099
-3.96915204244319E-5,0001,004,06,0600400010100,0100,000000000000000000a0
-2.7291347273629988E-5,0001,004,06,0600400010187,0187,000000000000000000a1
2.2923371157359987E-4,0001,004,06,0600400010242,0242,000000000000000000a2
-3.1006860670437276E-4,0001,004,06,0600400010083,0083,000000000000000000a3
-3.240966291873803E-5,0001,004,06,0600400010238,0238,000000000000000000a4
4.041217563356743E-4,0001,004,06,0600400010257,0257,000000000000000000a5
3.5801610340213035E-4,0001,004,06,0600400010172,0172,000000000000000000a6
-2.216837096908621E-4,0001,004,06,0600400010153,0153,000000000000000000a9
-2.5938281873524462E-5,0001,004,06,0600400010191,0191,000000000000000000ab
0.0014389344984541785,0015,004,06,0600400150223,0223,000000000000000000a7
7.831950805450209E-4,0015,004,06,0600400150204,0204,000000000000000000a8
6.437654635767723E-4,0015,004,06,0600400150219,0219,000000000000000000aa
9.262739849935676E-5,0001,005,06,0600500010343,0343,000000000000000000ad
7.258159759799491E-4,0001,005,06,0600500010235,0235,000000000000000000ae
1.3454206030472313E-4,0001,005,06,0600500010339,0339,000000000000000000b0
9.02183615469999E-5,0001,005,06,0600500010305,0305,000000000000000000b1
5.668701284532951E-4,0001,005,06,0600500010108,0108,000000000000000000b2
4.0281543549555157E-4,0001,005,06,0600500010112,0112,000000000000000000b3
1.3244638483703123E-4,0001,005,06,0600500010150,0150,000000000000000000b4
3.502479277597397E-4,0001,005,06,0600500010184,0184,000000000000000000b5
2.2151987496010642E-4,0001,005,06,0600500010220,0220,000000000000000000b6
4.855367382722631E-5,0001,005,06,060050001024A,024A,000000000000000000b7
5.105489120576299E-4,0001,005,06,0600500010288,0288,000000000000000000b8
2.78967217204463E-4,0001,005,06,0600500010292,0292,000000000000000000b9
-1.5951130621588697E-5,0001,005,06,0600500010324,0324,000000000000000000c0
1.6998572657675214E-6,0001,005,06,0600500010254,0254,000000000000000000c1
8.285086915768077E-5,0001,005,06,060050001031A,031A,000000000000000000c2
9.005797631554506E-4,0018,005,06,0600500180038,0038,000000000000000000ba
2.075698562453201E-4,0018,005,06,0600500180131,0131,000000000000000000bb
4.28937810170726E-4,0018,005,06,060050018017A,017A,000000000000000000bc
1.3122344545279366E-5,0018,005,06,0600500180216,0216,000000000000000000bd
7.820627751388132E-4,0018,005,06,0600500180080,0080,000000000000000000c3
5.509693841103192E-4,0018,005,06,0600500180095,0095,000000000000000000c4
6.87948231431802E-5,0023,005,06,0600500230273,0273,000000000000000000ac
-9.128012543921496E-6,0023,005,06,0600500230269,0269,000000000000000000af
1.9681381052858048E-4,0023,005,06,0600500230199,0199,000000000000000000be
7.382649820345728E-6,0023,005,06,0600500230201,0201,000000000000000000bf
0.0010459263924421753,0001,006,06,0600600010069,0069,000000000000000000c5
7.861912517718937E-4,0001,006,06,0600600010073,0073,000000000000000000c6
4.784368522725606E-5,0001,006,06,0600600010092,0092,000000000000000000c7
5.8651031541608956E-5,0001,006,06,0600600010105,0105,000000000000000000c8
2.327290091993396E-5,0001,006,06,060060001011A,011A,000000000000000000c9
2.792748110392075E-4,0001,006,06,0600600010124,0124,000000000000000000ca
5.657213622999849E-4,0001,006,06,0600600010088,0088,000000000000000000cb
2.968443151263709E-4,0001,007,06,0600700010564,0564,000000000000000000cc
0.0021328431750866875,0001,007,06,0600700010530,0530,000000000000000000cd
0.0017800296762897484,0001,007,06,0600700010545,0545,000000000000000000ce
0.004122577986457962,0001,007,06,0600700010668,0668,000000000000000000cf
0.0014834470553330636,0001,007,06,0600700010687,0687,000000000000000000d0
0.006054374272474361,0001,007,06,0600700010691,0691,000000000000000000d1
6.763826365487329E-5,0001,007,06,0600700011011,1011,000000000000000000d2
5.112928040142475E-4,0001,007,06,0600700011331,1331,000000000000000000d3
0.0030746433970695866,0001,007,06,0600700010456,0456,000000000000000000d4
0.002177940353998341,0001,007,06,0600700011717,1717,000000000000000000d5
0.0013436300582990784,0001,007,06,0600700010649,0649,000000000000000000d6
2.637075988392559E-5,0001,007,06,0600700011204,1204,000000000000000000d7
0.0025465848149181973,0001,007,06,0600700010808,0808,000000000000000000d8
8.300512422699564E-5,0001,007,06,0600700011581,1581,000000000000000000d9
0.0019763118092792726,0001,007,06,060070001009A,009A,000000000000000000da
0.001145660346785032,0001,007,06,0600700010422,0422,000000000000000000db
0.001105825685244119,0001,007,06,0600700010193,0193,000000000000000000dc
5.8720673258965004E-5,0001,007,06,0600700010333,0333,000000000000000000dd
-1.8666372020675946E-4,0001,007,06,0600700010348,0348,000000000000000000de
0.0014589099652217846,0001,007,06,0600700010390,0390,000000000000000000df
0.0017350064868416567,0001,007,06,0600700010403,0403,000000000000000000e0
0.0010210909176158367,0001,007,06,0600700010507,0507,000000000000000000e1
0.002080815199170289,0001,007,06,0600700010511,0511,000000000000000000e2
0.0028777264359767176,0001,007,06,0600700010704,0704,000000000000000000e3
0.001641749552905173,0001,007,06,0600700010738,0738,000000000000000000e4
3.9030549924928376E-4,0001,007,06,0600700011492,1492,000000000000000000e5
8.534596266763519E-4,0001,007,06,060070001087A,087A,000000000000000000e6
