Año,Fuente,Cve. Edo.,Entidad Fed.,PM10,PM2.5,SO2,CO,NOX,COV,NH3
2005,MOVILES,24,SAN LUIS POTOSI,313.37,241.54,407.94,"655,173.30","33,241.19","52,099.33",282.53
2005,MOVILES,25,SINALOA,206.48,138.9,395.9,"565,505.77","21,497.07","60,537.38",331.84
2005,MOVILES,26,SONORA,558.85,393.27,"1,637.89","491,097.30","85,569.53","192,526.93",799.42
2005,MOVILES,27,TABASCO,964.71,860.12,894.4,"515,143.06","94,378.91","44,972.39",250.12
2005,MOVILES,28,TAMAULIPAS,648.54,451.1,"1,158.72","1,529,341.79","75,776.14","127,296.72",976.4
2005,MOVILES,29,TLAXCALA,98.56,68.51,179.92,"357,056.72","10,187.79","25,054.79",137.82
2005,MOVILES,30,VERACRUZ,784.2,620.12,"1,000.64","941,247.81","79,948.92","99,330.85",614.27
2005,MOVILES,31,YUCATAN,217.28,148.62,403.92,"651,174.23","26,718.54","56,580.63",381.41
2005,MOVILES,32,ZACATECAS,206.02,139.95,400.04,"980,065.48","24,694.50","70,710.75",332.62
2005,NATURALES,1,AGUASCALIENTES,,,,,"8,365.45","25,712.77",
2005,NATURALES,2,BAJA CALIFORNIA,,,,,"23,826.09","47,261.91",
2005,NATURALES,3,BAJA CALIFORNIA SUR,,,,,"19,637.80","81,762.26",
2005,NATURALES,4,CAMPECHE,,,,,"39,009.96","1,729,752.13",
2005,NATURALES,5,COAHUILA,,,,,"54,984.48","110,186.23",
2005,NATURALES,6,COLIMA,,,,,"12,912.83","104,944.47",
2005,NATURALES,7,CHIAPAS,,,,,"114,218.72","1,461,242.74",
2005,NATURALES,8,CHIHUAHUA,,,,,"89,989.89","378,589.09",
2005,NATURALES,9,DISTRITO FEDERAL,,,,,"1,053.25","4,731.75",
2005,NATURALES,10,DURANGO,,,,,"37,511.68","75,709.49",
2005,NATURALES,11,GUANAJUATO,,,,,"47,887.43","147,938.73",
2005,NATURALES,12,GUERRERO,,,,,"77,334.23","1,208,103.68",
2005,NATURALES,13,HIDALGO,,,,,"32,124.20","122,437.94",
2005,NATURALES,14,JALISCO,,,,,"52,103.06","197,722.64",
2005,NATURALES,15,MEXICO,,,,,"18,712.76","42,736.43",
2005,NATURALES,16,MICHOACAN,,,,,"83,756.33","691,021.21",
2005,NATURALES,17,MORELOS,,,,,"10,705.41","48,800.59",
2005,NATURALES,18,NAYARIT,,,,,"28,268.24","261,770.28",
2005,NATURALES,19,NUEVO LEON,,,,,"78,307.20","180,081.60",
2005,NATURALES,20,OAXACA,,,,,"92,596.51","1,020,479.79",
