Año,Fuente,Categoría,PM10,PM2.5,SO2,CO,NOX,COV,NH3
2005,FIJAS,Manejo de desechos y servicios de remediación,31.58,29.25,52.07,8.88,61.11,243.31,0.84
2005,MOVILES,Autobuses de transporte urbano e inter-urbano a diesel,"2,469.56","2,176.23","2,345.01","389,972.82","289,404.02","41,736.04",145.67
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,0.96,0.85,0.95,12.82,32.15,6.63,0.06
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas (microbus),163.48,144.7,123.9,"4,760.93","5,862.33","1,230.85",8.91
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,0.07,0.07,0.08,13.36,7.05,1.77,0
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,"2,385.96","2,104.36","1,945.77","248,072.23","137,718.42","38,197.76",240.78
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,25.48,22.23,25.63,"3,104.07","2,119.20",506.62,1.46
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,0.3,0.26,0.3,65.71,34.05,8.67,0.02
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,44.59,38.95,44.8,"12,883.70","6,459.76","1,548.99",2.69
2005,MOVILES,Tractocamiones,"1,464.63","1,290.86","1,454.64","291,742.51","201,247.11","32,124.37",96.13
2005,MOVILES,Autobus escolar a diesel,130.6,100.15,254.31,"335,285.81","21,176.74","18,664.73",45.31
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,0.78,0.57,1.26,"1,428.13",71.42,71.73,0.3
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas (microbus),206.64,148.56,350.88,"1,147,991.71","38,330.79","60,015.73",115.28
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,0.02,0.02,0.03,35.35,2.86,2.19,0.02
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,"1,748.55","1,291.42","3,119.10","5,577,576.50","250,018.88","324,466.02",835.16
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,18.96,13.39,27.68,"45,181.39","1,951.00","2,249.66",19.99
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,0.08,0.06,0.11,308.07,15.26,11.68,0.09
2005,MOVILES,Vehículos privados y comerciales con peso > 3 toneladas,24.44,17.29,35.32,"699,595.10","6,640.07","25,323.09",25.8
2005,MOVILES,Tractocamiones,41.69,34.2,65.18,"12,919.52","1,188.28",640.95,13.65
2005,MOVILES,Pick_up,56.57,49.26,26.08,"2,651.11","1,671.46","1,316.03",3.05
2005,MOVILES,Vehículos privados y comerciales con peso < 3 toneladas (incluye SUV),114.34,81.81,64.86,"5,791.27","2,444.91","1,586.61",6.54
2005,MOVILES,Autos particulares (tipo sedan),10.92,9.53,4.58,546.26,405.53,282.12,1.02
2005,MOVILES,Camioneta de transporte publico de pasajeros,124.64,77.86,344.17,"897,146.51","22,795.89","67,205.38",346.44
2005,MOVILES,Pick_up,"2,017.86","1,284.24","5,101.87","12,440,923.28","222,857.86","1,002,093.75","4,249.10"
2005,MOVILES,Vehículos privados y comerciales con peso < 3 toneladas (incluye SUV),"1,091.18",675.48,"3,653.51","4,341,852.00","138,285.40","385,133.45","2,586.75"
2005,MOVILES,Vehículos privados y comerciales con peso < 3 toneladas (incluye SUV),0.45,0.28,1.13,"1,882.84",30.47,180.59,0.73
2005,MOVILES,Autos Particulares (tipo sedan),"3,742.28","2,076.38","9,173.66","11,459,874.02","483,734.56","993,394.59","12,304.73"
2005,MOVILES,Motocicletas,315.95,185.07,290.9,"497,470.27","13,981.35","64,142.42",141.28
2005,NATURALES,Biogenicas,,,,,"1,752,916.36","14,009,227.81",
Cantidades en toneladas.,,,,,,,,,
"* Las cifras que se muestran como "".00"" representan cantidades menores a centecimas.  Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,,,
