CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,area
"0600300350071","06","003","0035","0071",0.65
"0600300010194","06","003","0001","0194",0.02
"0600300010118","06","003","0001","0118",0.49
"0600300350086","06","003","0035","0086",0.71
"0600300010160","06","003","0001","0160",0.02
"0600300010103","06","003","0001","0103",0.72
"0600300010067","06","003","0001","0067",0.40
"0600300010122","06","003","0001","0122",0.52
"0600300010207","06","003","0001","0207",0.02
"0600300010052","06","003","0001","0052",0.75
"0600400010100","06","004","0001","0100",0.56
"0600400010187","06","004","0001","0187",0.38
"0600400010242","06","004","0001","0242",0.11
"0600400010083","06","004","0001","0083",0.47
"0600400010238","06","004","0001","0238",0.14
"0600400010257","06","004","0001","0257",0.16
"0600400010172","06","004","0001","0172",0.54
"0600400150223","06","004","0015","0223",0.54
"0600400150204","06","004","0015","0204",0.38
"0600400010153","06","004","0001","0153",0.40
"0600400150219","06","004","0015","0219",0.35
"0600400010191","06","004","0001","0191",0.06
"0600500230273","06","005","0023","0273",0.20
"0600500010343","06","005","0001","0343",0.07
"0600500010235","06","005","0001","0235",0.69
"0600500230269","06","005","0023","0269",0.15
"0600500010339","06","005","0001","0339",0.10
"0600500010305","06","005","0001","0305",0.05
"0600500010108","06","005","0001","0108",0.49
"0600500010112","06","005","0001","0112",0.58
"0600500010150","06","005","0001","0150",0.44
"0600500010184","06","005","0001","0184",0.25
"0600500010220","06","005","0001","0220",0.23
060050001024A,"06","005","0001",024A,0.05
"0600500010288","06","005","0001","0288",0.35
"0600500010292","06","005","0001","0292",0.22
"0600500180038","06","005","0018","0038",0.62
"0600500180131","06","005","0018","0131",0.31
060050018017A,"06","005","0018",017A,0.36
"0600500180216","06","005","0018","0216",0.01
"0600500230199","06","005","0023","0199",0.41
"0600500230201","06","005","0023","0201",0.31
"0600500010324","06","005","0001","0324",0.15
"0600500010254","06","005","0001","0254",0.07
060050001031A,"06","005","0001",031A,0.06
"0600500180080","06","005","0018","0080",0.49
"0600500180095","06","005","0018","0095",0.34
"0600600010069","06","006","0001","0069",0.42
"0600600010073","06","006","0001","0073",0.33
"0600600010092","06","006","0001","0092",0.01
"0600600010105","06","006","0001","0105",0.01
060060001011A,"06","006","0001",011A,0.02
"0600600010124","06","006","0001","0124",0.13
"0600600010088","06","006","0001","0088",0.20
"0600700010564","06","007","0001","0564",0.22
"0600700010530","06","007","0001","0530",1.24
"0600700010545","06","007","0001","0545",1.02
"0600700010668","06","007","0001","0668",0.87
"0600700010687","06","007","0001","0687",0.58
"0600700010691","06","007","0001","0691",1.51
"0600700011011","06","007","0001","1011",0.13
"0600700011331","06","007","0001","1331",0.25
"0600700010456","06","007","0001","0456",0.73
"0600700011717","06","007","0001","1717",0.45
"0600700010649","06","007","0001","0649",0.29
"0600700011204","06","007","0001","1204",0.03
"0600700010808","06","007","0001","0808",0.67
"0600700011581","06","007","0001","1581",0.04
060070001009A,"06","007","0001",009A,0.79
"0600700010422","06","007","0001","0422",0.40
"0600700010193","06","007","0001","0193",0.22
"0600700010333","06","007","0001","0333",0.41
"0600700010348","06","007","0001","0348",0.38
"0600700010390","06","007","0001","0390",0.43
"0600700010403","06","007","0001","0403",0.45
"0600700010507","06","007","0001","0507",0.38
"0600700010511","06","007","0001","0511",1.05
"0600700010704","06","007","0001","0704",0.93
"0600700010738","06","007","0001","0738",0.63
"0600700011492","06","007","0001","1492",0.23
060070001087A,"06","007","0001",087A,0.19
"0600700010884","06","007","0001","0884",0.19
"0600700010899","06","007","0001","0899",0.34
"0600700010901","06","007","0001","0901",0.51
"0600700010954","06","007","0001","0954",0.02
"0600700011774","06","007","0001","1774",0.07
"0600700011064","06","007","0001","1064",0.23
"0600700011079","06","007","0001","1079",0.14
"0600700011098","06","007","0001","1098",0.05
"0600700011168","06","007","0001","1168",0.25
"0600700011172","06","007","0001","1172",0.02
"0600700011191","06","007","0001","1191",0.15
"0600700011219","06","007","0001","1219",0.41
"0600700011257","06","007","0001","1257",0.31
"0600700011261","06","007","0001","1261",0.26
"0600700011327","06","007","0001","1327",0.23
"0600700011401","06","007","0001","1401",0.32
"0600700011473","06","007","0001","1473",0.50
"0600700011488","06","007","0001","1488",0.42
"0600700011505","06","007","0001","1505",0.53
"0600700011524","06","007","0001","1524",0.18
"0600700011543","06","007","0001","1543",0.75
"0600700011596","06","007","0001","1596",0.23
"0600700011628","06","007","0001","1628",0.33
"0600700011666","06","007","0001","1666",0.49
"0600700011670","06","007","0001","1670",0.27
"0600700011702","06","007","0001","1702",0.27
"0600700210827","06","007","0021","0827",0.64
"0600700210916","06","007","0021","0916",0.62
"0600700210920","06","007","0021","0920",0.42
"0600700011083","06","007","0001","1083",0.01
"0600700011308","06","007","0001","1308",0.22
060070001176A,"06","007","0001",176A,0.15
060070001144A,"06","007","0001",144A,0.06
"0600700011806","06","007","0001","1806",0.05
"0600700011577","06","007","0001","1577",0.05
"0600700011365","06","007","0001","1365",0.04
060070001137A,"06","007","0001",137A,0.05
"0600700011685","06","007","0001","1685",0.06
060070001112A,"06","007","0001",112A,0.02
"0600700011187","06","007","0001","1187",0.02
"0600700010314","06","007","0001","0314",0.25
060070021094A,"06","007","0021",094A,0.33
"0600700011115","06","007","0001","1115",0.06
060070001016A,"06","007","0001",016A,0.07
"0600700010174","06","007","0001","0174",0.31
"0600700010352","06","007","0001","0352",0.28
"0600700010329","06","007","0001","0329",0.34
"0600700010418","06","007","0001","0418",0.33
"0600700010460","06","007","0001","0460",1.24
"0600700011736","06","007","0001","1736",0.03
"0600700011007","06","007","0001","1007",0.20
"0600700010615","06","007","0001","0615",0.44
"0600700010634","06","007","0001","0634",0.51
060070001048A,"06","007","0001",048A,0.97
"0600700010526","06","007","0001","0526",1.07
"0600700011384","06","007","0001","1384",0.01
"0600700010583","06","007","0001","0583",0.29
"0600700010672","06","007","0001","0672",1.15
"0600700010988","06","007","0001","0988",0.14
"0600700010742","06","007","0001","0742",0.80
"0600700011454","06","007","0001","1454",0.07
"0600700010795","06","007","0001","0795",0.47
"0600700011026","06","007","0001","1026",0.13
"0600700011030","06","007","0001","1030",0.44
"0600700011045","06","007","0001","1045",0.14
060070001105A,"06","007","0001",105A,0.05
"0600700011100","06","007","0001","1100",0.13
060070001183A,"06","007","0001",183A,0.40
"0600700011295","06","007","0001","1295",0.44
"0600700011609","06","007","0001","1609",0.59
"0600700011825","06","007","0001","1825",0.05
"0600700010973","06","007","0001","0973",0.02
"0600700210935","06","007","0021","0935",0.25
"0600700011346","06","007","0001","1346",0.03
"0600700010969","06","007","0001","0969",0.17
"0600700011350","06","007","0001","1350",0.13
"0600700011755","06","007","0001","1755",0.14
"0600700011810","06","007","0001","1810",0.06
"0600700011149","06","007","0001","1149",0.06
060070001151A,"06","007","0001",151A,0.24
"0600700011793","06","007","0001","1793",0.91
"0600700011721","06","007","0001","1721",0.10
"0600700011469","06","007","0001","1469",0.54
"0600700011844","06","007","0001","1844",0.33
"0600700210812","06","007","0021","0812",0.99
"0600700010475","06","007","0001","0475",0.69
"0600700010140","06","007","0001","0140",0.12
"0600700010653","06","007","0001","0653",0.57
"0600700011740","06","007","0001","1740",0.79
