Estado,CVE Estado,Categoría,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Baja California,02,Uso de Solventes,Uso doméstico de solventes,0,0,0,0,0,8653.030464,0
Baja California Sur,03,Agropecuarias,Aplicación de fertilizantes,0,0,0,0,0,0,270.1498848
Baja California Sur,03,Agropecuarias,Aplicación de plaguicidas,0,0,0,0,0,16.75780072,0
Baja California Sur,03,Agropecuarias,Corrales de engorda,22.586436,2.579370991,0,0,0,0,0
Baja California Sur,03,Agropecuarias,Emisiones ganaderas de amoniaco,0,0,0,0,0,0,700.641263
Baja California Sur,03,Agropecuarias,Labranza,368.5601772,81.70979128,0,0,0,0,0
Baja California Sur,03,Agropecuarias,Quemas agrícolas,151.7369689,145.293018,6.393619793,1097.204397,47.1887235,107.6245801,21.94159789
Baja California Sur,03,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de combustibles,0,0,0,0,0,956.2613087,0
Baja California Sur,03,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de gas L.P.,0,0,0,0,0,3147.075815,0
Baja California Sur,03,Fuentes industriales ligeras y comerciales,Actividades de construcción,130.1378809,13.01378809,0,0,0,0,0
Baja California Sur,03,Fuentes industriales ligeras y comerciales,Asados al carbón,62.90976918,50.20828679,0,125.2451277,2.305511241,8.081092302,0
Baja California Sur,03,Fuentes industriales ligeras y comerciales,Panificación,0,0,0,0,0,35.69072584,0
Baja California Sur,03,Fuentes misceláneas,Caminos pavimentados y no pavimentados,475.3771523,96.93652303,0,0,0,0,0
Baja California Sur,03,Fuentes misceláneas,Emisiones domésticas de amoniaco,0,0,0,0,0,0,935.337258
Baja California Sur,03,Fuentes misceláneas,Esterilización de material hospitalario,0,0,0,0,0,0.32832,0
Baja California Sur,03,Fuentes misceláneas,Incendios en construcción,0.202828841,0.189409164,0,3.220722624,0.076683872,0.199761487,0
Baja California Sur,03,Fuentes misceláneas,Incendios forestales,47.46680764,40.24931117,4.884271344,458.4873874,15.76543528,32.04245855,4.553728075
