Zona metropolitana,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Tlaxcala-Apizaco,2031.501515,1500.537594,277.263706,38697.98721,18005.73396,34001.35572,2747.030444
Toluca,5678.160986,3880.126528,1416.338922,91069.5867,28670.19997,64825.73184,5610.563453
Tula,10566.21632,7901.945435,139978.1564,17901.20129,29698.83151,15746.95828,943.9869817
Tulancingo,2364.011738,873.3792769,623.1711885,13323.91405,6379.515341,9298.269359,773.6108307
Tuxtla Gutiérrez,2396.094103,1947.787147,1396.089895,58468.73305,14042.49086,33489.55651,1780.665051
Valle de México,26434.09863,15619.96102,2281.515106,738974.9134,202716.1601,416923.9751,43220.51462
Veracruz,2116.053643,1645.271039,390.617632,48693.83785,16884.77947,32805.16151,1935.269336
Villahermosa,2072.019218,1628.890138,390.9338265,57675.43353,19460.95132,28601.1052,1603.79486
Xalapa,2374.990058,1752.082128,1357.152297,36271.39701,13565.18251,31662.18257,3741.753335
Zacatecas-Guadalupe,2195.187383,1448.751683,255.754307,26787.83436,12015.06235,16823.67003,919.0711963
Zamora,996.7876808,771.5621778,193.5044918,23303.54322,4913.469598,13645.31371,607.2243078
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
