CVE Estado,Estado,CVE Municipio,Municipio,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,003,Calvillo,Taxi,0.012466839,0.011006562,0.256224045,19.85350574,6.100752051,1.557788142,0.059152097
01,Aguascalientes,003,Calvillo,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,003,Calvillo,Tractocamión,1.318711089,1.213198091,0.179822968,2.21947055,5.521654821,0.414858177,0.012642317
01,Aguascalientes,003,Calvillo,Veh>3.8Ton,20.48272504,18.83764732,2.861944221,131.7220362,91.28570856,13.38773233,0.246250694
01,Aguascalientes,004,Cosío,Autobús,0.237552653,0.218545306,0.047441633,0.812143673,2.097190204,0.121097143,0.002506122
01,Aguascalientes,004,Cosío,Autos particulares,0.294327255,0.260395823,0.523236158,113.9666708,21.22397979,14.01232326,0.175220183
01,Aguascalientes,004,Cosío,Camionetas particulares,0.07545012,0.066746464,0.184405624,35.80755728,7.196638327,3.971774206,0.050064458
01,Aguascalientes,004,Cosío,Combi,0,0,0,0,0,0,0
01,Aguascalientes,004,Cosío,Cruces fronterizos,0,0,0,0,0,0,0
01,Aguascalientes,004,Cosío,Embarcaciones marinas,0,0,0,0,0,0,0
01,Aguascalientes,004,Cosío,Equipos en aeropuertos,0,0,0,0,0,0,0
01,Aguascalientes,004,Cosío,Locomotoras de patio,0,0,0,0,0,0,0
01,Aguascalientes,004,Cosío,Locomotoras de recorrido,1.26292954,1.134496028,0.456652489,5.016042185,50.89534695,1.883691518,0
01,Aguascalientes,004,Cosío,Maquinaria agrícola,5.770582088,5.597464626,1.152019946,34.33846571,45.29625156,5.727329195,0
01,Aguascalientes,004,Cosío,Motocicletas,0.161557637,0.142918302,0.445325435,111.6647278,5.434721768,9.206093832,0.292976996
01,Aguascalientes,004,Cosío,Pickup y Veh<3.8Ton,0.486625327,0.434884214,0.675619499,145.2871845,25.33192021,14.08992089,0.185293499
01,Aguascalientes,004,Cosío,Taxi,0.001072416,0.000946801,0.022040778,1.707828451,0.524795875,0.134003281,0.005088352
01,Aguascalientes,004,Cosío,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,004,Cosío,Tractocamión,0.155142481,0.142729187,0.021155643,0.261114182,0.649606449,0.048806844,0.001487331
01,Aguascalientes,004,Cosío,Veh>3.8Ton,2.049568224,1.884910776,0.288442152,13.86623527,9.183344656,1.381772195,0.025009246
01,Aguascalientes,005,Jesús María,Autobús,15.32214612,14.09617224,3.059985306,52.38326694,135.2687682,7.810765714,0.161644898
01,Aguascalientes,005,Jesús María,Autos particulares,4.109391919,3.635748746,7.306379121,1590.301507,296.1577579,195.5004708,2.444984094
01,Aguascalientes,005,Jesús María,Camionetas particulares,1.018649099,0.903426984,2.349132653,453.9209807,91.38701825,50.33190557,0.635436597
01,Aguascalientes,005,Jesús María,Combi,0.000645954,0.00057659,0.011618497,0.67733237,0.153533237,0.05267341,0.002336705
01,Aguascalientes,005,Jesús María,Cruces fronterizos,0,0,0,0,0,0,0
01,Aguascalientes,005,Jesús María,Embarcaciones marinas,0,0,0,0,0,0,0
01,Aguascalientes,005,Jesús María,Equipos en aeropuertos,0,0,0,0,0,0,0
01,Aguascalientes,005,Jesús María,Locomotoras de patio,0,0,0,0,0,0,0
01,Aguascalientes,005,Jesús María,Locomotoras de recorrido,0,0,0,0,0,0,0
