mean,CODIGO,ESTADO,system:index
2.4244221986084147E-4,MX02,Baja California,00000000000000000000
7.962105654322129E-5,MX03,Baja California Sur,00000000000000000001
6.593867904024517E-5,MX18,Nayarit,00000000000000000002
8.472786427191153E-5,MX14,Jalisco,00000000000000000003
8.83467239407975E-5,MX01,Aguascalientes,00000000000000000004
1.0880458543961348E-4,MX11,Guanajuato,00000000000000000005
1.4122892975607746E-4,MX22,Querétaro,00000000000000000006
1.665534276244384E-4,MX13,Hidalgo,00000000000000000007
1.243095809607457E-4,MX16,Michoacán,00000000000000000008
2.2736186412764914E-4,MX15,México,00000000000000000009
3.746862939161273E-4,MX09,Distrito Federal,0000000000000000000a
8.500995377410069E-5,MX08,Colima,0000000000000000000b
4.3689743013193495E-4,MX17,Morelos,0000000000000000000c
5.762896304821915E-6,MX31,Yucatán,0000000000000000000d
1.065617596734204E-5,MX04,Campeche,0000000000000000000e
1.582856619068928E-4,MX21,Puebla,0000000000000000000f
4.854110072715831E-6,MX23,Quintana Roo,00000000000000000010
1.8427502688759704E-4,MX29,Tlaxcala,00000000000000000011
1.0982367051212637E-4,MX12,Guerrero,00000000000000000012
4.2204301946278234E-5,MX20,Oaxaca,00000000000000000013
1.1793563285925366E-4,MX27,Tabasco,00000000000000000014
3.897768627923756E-5,MX05,Chiapas,00000000000000000015
1.3924911911429035E-4,MX26,Sonora,00000000000000000016
1.0374499022253385E-4,MX06,Chihuahua,00000000000000000017
1.1244846224340488E-4,MX07,Coahuila,00000000000000000018
1.0115021416769847E-4,MX25,Sinaloa,00000000000000000019
7.171013109677889E-5,MX10,Durango,0000000000000000001a
7.325276645554707E-5,MX32,Zacatecas,0000000000000000001b
9.544530573570875E-5,MX24,San Luis Potosí,0000000000000000001c
1.142788007116395E-4,MX19,Nuevo León,0000000000000000001d
7.277673212584084E-5,MX28,Tamaulipas,0000000000000000001e
7.245125709017025E-5,MX30,Veracruz,0000000000000000001f
