mean,CODIGO,ESTADO,system:index
6.151172044965233E-5,MX02,Baja California,00000000000000000000
5.427573486667339E-5,MX03,Baja California Sur,00000000000000000001
5.2090044756227964E-5,MX18,Nayarit,00000000000000000002
5.483493575931365E-5,MX14,Jalisco,00000000000000000003
5.671994360809379E-5,MX01,Aguascalientes,00000000000000000004
5.908851054593994E-5,MX11,Guanajuato,00000000000000000005
6.04071419619419E-5,MX22,Querétaro,00000000000000000006
6.435063140844753E-5,MX13,Hidalgo,00000000000000000007
5.3026408412235465E-5,MX16,Michoacán,00000000000000000008
7.806069199786269E-5,MX15,México,00000000000000000009
1.6012282196308924E-4,MX09,Distrito Federal,0000000000000000000a
5.472263238922477E-5,MX08,Colima,0000000000000000000b
7.404075117565685E-5,MX17,Morelos,0000000000000000000c
4.9847525717253014E-5,MX31,Yucatán,0000000000000000000d
4.8744709824776613E-5,MX04,Campeche,0000000000000000000e
5.7604322379194784E-5,MX21,Puebla,0000000000000000000f
4.665029632833213E-5,MX23,Quintana Roo,00000000000000000010
6.6907767269263E-5,MX29,Tlaxcala,00000000000000000011
5.234181292856335E-5,MX12,Guerrero,00000000000000000012
4.8266795503360364E-5,MX20,Oaxaca,00000000000000000013
5.206019790046162E-5,MX27,Tabasco,00000000000000000014
4.841702684147667E-5,MX05,Chiapas,00000000000000000015
5.858926997313318E-5,MX26,Sonora,00000000000000000016
5.573458801376335E-5,MX06,Chihuahua,00000000000000000017
5.787194620483916E-5,MX07,Coahuila,00000000000000000018
5.630675279125885E-5,MX25,Sinaloa,00000000000000000019
5.225175267561921E-5,MX10,Durango,0000000000000000001a
5.2013036493189186E-5,MX32,Zacatecas,0000000000000000001b
5.5647236100621344E-5,MX24,San Luis Potosí,0000000000000000001c
6.169966559900169E-5,MX19,Nuevo León,0000000000000000001d
5.723134067698381E-5,MX28,Tamaulipas,0000000000000000001e
5.55904185354573E-5,MX30,Veracruz,0000000000000000001f
