mean,CODIGO,ESTADO,system:index
0.02773132035496809,MX02,Baja California,00000000000000000000
0.02749915176660593,MX03,Baja California Sur,00000000000000000001
0.026317022592042792,MX18,Nayarit,00000000000000000002
0.024439871100526214,MX14,Jalisco,00000000000000000003
0.021880397566592817,MX01,Aguascalientes,00000000000000000004
0.022882173650619817,MX11,Guanajuato,00000000000000000005
0.02329954767405927,MX22,Querétaro,00000000000000000006
0.02391441031986911,MX13,Hidalgo,00000000000000000007
0.02580574667720782,MX16,Michoacán,00000000000000000008
0.02325598918228597,MX15,México,00000000000000000009
0.025574482073066715,MX09,Distrito Federal,0000000000000000000a
0.028467243518764205,MX08,Colima,0000000000000000000b
0.027524514580920516,MX17,Morelos,0000000000000000000c
0.027301113925001372,MX31,Yucatán,0000000000000000000d
0.02733416422632468,MX04,Campeche,0000000000000000000e
0.02404533973573246,MX21,Puebla,0000000000000000000f
0.027033263300624055,MX23,Quintana Roo,00000000000000000010
0.02147895913206989,MX29,Tlaxcala,00000000000000000011
0.027319379313120323,MX12,Guerrero,00000000000000000012
0.025650153792493163,MX20,Oaxaca,00000000000000000013
0.028720156303639274,MX27,Tabasco,00000000000000000014
0.026547570586075923,MX05,Chiapas,00000000000000000015
0.026987393360954792,MX26,Sonora,00000000000000000016
0.02328667881286303,MX06,Chihuahua,00000000000000000017
0.025488926007815698,MX07,Coahuila,00000000000000000018
0.027400054424995022,MX25,Sinaloa,00000000000000000019
0.021815415972128452,MX10,Durango,0000000000000000001a
0.021288493912460096,MX32,Zacatecas,0000000000000000001b
0.023860604058825435,MX24,San Luis Potosí,0000000000000000001c
0.026313237399303534,MX19,Nuevo León,0000000000000000001d
0.02821913240279103,MX28,Tamaulipas,0000000000000000001e
0.02888141863139323,MX30,Veracruz,0000000000000000001f
