mean,CODIGO,ESTADO,system:index
1.888111468787149E-4,MX02,Baja California,00000000000000000000
5.492916640779235E-5,MX03,Baja California Sur,00000000000000000001
4.656400206094734E-5,MX18,Nayarit,00000000000000000002
5.891867048425282E-5,MX14,Jalisco,00000000000000000003
4.8667601079291057E-5,MX01,Aguascalientes,00000000000000000004
6.083142405856285E-5,MX11,Guanajuato,00000000000000000005
8.138672173351809E-5,MX22,Querétaro,00000000000000000006
1.102650561199252E-4,MX13,Hidalgo,00000000000000000007
9.184376141770133E-5,MX16,Michoacán,00000000000000000008
1.7203425149976565E-4,MX15,México,00000000000000000009
2.490404238397766E-4,MX09,Distrito Federal,0000000000000000000a
7.138056271063304E-5,MX08,Colima,0000000000000000000b
4.367667701714635E-4,MX17,Morelos,0000000000000000000c
1.905409144001266E-5,MX31,Yucatán,0000000000000000000d
2.527429312230818E-5,MX04,Campeche,0000000000000000000e
1.908634515995813E-4,MX21,Puebla,0000000000000000000f
1.4412947687904207E-5,MX23,Quintana Roo,00000000000000000010
1.9879017871093045E-4,MX29,Tlaxcala,00000000000000000011
1.1529800001778931E-4,MX12,Guerrero,00000000000000000012
5.785172409582767E-5,MX20,Oaxaca,00000000000000000013
1.0962171594328381E-4,MX27,Tabasco,00000000000000000014
5.3765202003997694E-5,MX05,Chiapas,00000000000000000015
1.1045565172049995E-4,MX26,Sonora,00000000000000000016
8.057668548413402E-5,MX06,Chihuahua,00000000000000000017
7.794366256553433E-5,MX07,Coahuila,00000000000000000018
7.65274142744781E-5,MX25,Sinaloa,00000000000000000019
4.9816920427368775E-5,MX10,Durango,0000000000000000001a
4.548524961947892E-5,MX32,Zacatecas,0000000000000000001b
6.065232564009454E-5,MX24,San Luis Potosí,0000000000000000001c
7.894930462995054E-5,MX19,Nuevo León,0000000000000000001d
5.3374601465446426E-5,MX28,Tamaulipas,0000000000000000001e
8.01315569953722E-5,MX30,Veracruz,0000000000000000001f
