mean,CODIGO,ESTADO,system:index
6.5036334346036E-5,MX02,Baja California,00000000000000000000
5.673523384431201E-5,MX03,Baja California Sur,00000000000000000001
5.641941658244534E-5,MX18,Nayarit,00000000000000000002
5.952372855377241E-5,MX14,Jalisco,00000000000000000003
6.1011976977682655E-5,MX01,Aguascalientes,00000000000000000004
6.369755903699973E-5,MX11,Guanajuato,00000000000000000005
6.682969174594603E-5,MX22,Querétaro,00000000000000000006
7.071819970149594E-5,MX13,Hidalgo,00000000000000000007
5.732085819841529E-5,MX16,Michoacán,00000000000000000008
8.720138041881923E-5,MX15,México,00000000000000000009
1.8942926873608055E-4,MX09,Distrito Federal,0000000000000000000a
5.9254386750515E-5,MX08,Colima,0000000000000000000b
8.001663775490034E-5,MX17,Morelos,0000000000000000000c
5.305665781178547E-5,MX31,Yucatán,0000000000000000000d
5.198100896619243E-5,MX04,Campeche,0000000000000000000e
6.265924353586926E-5,MX21,Puebla,0000000000000000000f
5.018206712292616E-5,MX23,Quintana Roo,00000000000000000010
7.369632635814712E-5,MX29,Tlaxcala,00000000000000000011
5.600584928879807E-5,MX12,Guerrero,00000000000000000012
5.253085105034811E-5,MX20,Oaxaca,00000000000000000013
5.646223255100264E-5,MX27,Tabasco,00000000000000000014
5.280679205212382E-5,MX05,Chiapas,00000000000000000015
6.129436072455189E-5,MX26,Sonora,00000000000000000016
5.8321367365846645E-5,MX06,Chihuahua,00000000000000000017
6.189485404351413E-5,MX07,Coahuila,00000000000000000018
5.950710492201864E-5,MX25,Sinaloa,00000000000000000019
5.5099446662878934E-5,MX10,Durango,0000000000000000001a
5.4862499223461734E-5,MX32,Zacatecas,0000000000000000001b
6.0038584388544476E-5,MX24,San Luis Potosí,0000000000000000001c
6.668695446054621E-5,MX19,Nuevo León,0000000000000000001d
6.163971271129139E-5,MX28,Tamaulipas,0000000000000000001e
6.099516309120414E-5,MX30,Veracruz,0000000000000000001f
