mean,CODIGO,ESTADO,system:index
1.9129972574559936E-4,MX02,Baja California,00000000000000000000
6.846012316246412E-5,MX03,Baja California Sur,00000000000000000001
6.0587930387772515E-5,MX18,Nayarit,00000000000000000002
7.636224471661729E-5,MX14,Jalisco,00000000000000000003
7.678018809982052E-5,MX01,Aguascalientes,00000000000000000004
9.932091852801457E-5,MX11,Guanajuato,00000000000000000005
1.4658846351447088E-4,MX22,Querétaro,00000000000000000006
2.043910521629523E-4,MX13,Hidalgo,00000000000000000007
1.084366612052702E-4,MX16,Michoacán,00000000000000000008
2.2276820941479885E-4,MX15,México,00000000000000000009
3.791364439567967E-4,MX09,Distrito Federal,0000000000000000000a
8.723075016294086E-5,MX08,Colima,0000000000000000000b
4.1610123149572503E-4,MX17,Morelos,0000000000000000000c
1.2697699225506048E-5,MX31,Yucatán,0000000000000000000d
2.390572493396905E-5,MX04,Campeche,0000000000000000000e
1.9036659253530825E-4,MX21,Puebla,0000000000000000000f
1.0430063669798912E-5,MX23,Quintana Roo,00000000000000000010
2.3641026170903763E-4,MX29,Tlaxcala,00000000000000000011
1.1061126125271913E-4,MX12,Guerrero,00000000000000000012
5.524311703886773E-5,MX20,Oaxaca,00000000000000000013
1.3577034285313933E-4,MX27,Tabasco,00000000000000000014
5.4948838184992926E-5,MX05,Chiapas,00000000000000000015
1.186152979760051E-4,MX26,Sonora,00000000000000000016
9.379815820450153E-5,MX06,Chihuahua,00000000000000000017
9.951507188243036E-5,MX07,Coahuila,00000000000000000018
9.992256488686872E-5,MX25,Sinaloa,00000000000000000019
6.303412125397413E-5,MX10,Durango,0000000000000000001a
6.484515821075265E-5,MX32,Zacatecas,0000000000000000001b
8.929205322382431E-5,MX24,San Luis Potosí,0000000000000000001c
1.0426792366244309E-4,MX19,Nuevo León,0000000000000000001d
6.844468407345253E-5,MX28,Tamaulipas,0000000000000000001e
9.615707036410635E-5,MX30,Veracruz,0000000000000000001f
