total_aerosol_optical_depth_at_550nm_surface,particulate_matter_d_less_than_25_um_surface,CODIGO,ESTADO,system:index
0.1164531880703874,1.2622645889920058E-8,MX02,Baja California,00000000000000000000
0.13142471882977913,1.1895832470678458E-8,MX03,Baja California Sur,00000000000000000001
0.16498597123604156,1.6224095689363562E-8,MX18,Nayarit,00000000000000000002
0.20109900434902947,1.9992554460333412E-8,MX14,Jalisco,00000000000000000003
0.13511440143683703,1.1479245590807314E-8,MX01,Aguascalientes,00000000000000000004
0.21434377629592574,1.6722988014978513E-8,MX11,Guanajuato,00000000000000000005
0.2785599350120671,1.7334884899615458E-8,MX22,Querétaro,00000000000000000006
0.4360504036365775,3.563628560167338E-8,MX13,Hidalgo,00000000000000000007
0.3422574098756188,1.9333155510503523E-8,MX16,Michoacán,00000000000000000008
0.6373997521737589,5.0083313949542016E-8,MX15,México,00000000000000000009
0.8978389442503991,8.802126009447568E-8,MX09,Distrito Federal,0000000000000000000a
0.2813229565311635,2.1920953469806152E-8,MX08,Colima,0000000000000000000b
0.9119858768251208,6.663326889553757E-8,MX17,Morelos,0000000000000000000c
0.1671032205832014,1.3852047888508897E-8,MX31,Yucatán,0000000000000000000d
0.20228556483497628,1.846098780026078E-8,MX04,Campeche,0000000000000000000e
0.43908803966775994,3.17627555363868E-8,MX21,Puebla,0000000000000000000f
0.1587903521106561,1.1370564195543791E-8,MX23,Quintana Roo,00000000000000000010
0.6141437163807937,6.216394266143448E-8,MX29,Tlaxcala,00000000000000000011
0.39276572553102884,2.02645002330026E-8,MX12,Guerrero,00000000000000000012
0.19156775660430694,1.5301014697217658E-8,MX20,Oaxaca,00000000000000000013
0.2480541315113205,2.688485924156928E-8,MX27,Tabasco,00000000000000000014
0.1910063544208615,2.0753468127175268E-8,MX05,Chiapas,00000000000000000015
0.1253548553490386,1.0595497902263508E-8,MX26,Sonora,00000000000000000016
0.10901062278995394,9.319262932046148E-9,MX06,Chihuahua,00000000000000000017
0.13034226145887762,8.612935202986337E-9,MX07,Coahuila,00000000000000000018
0.15172923581180534,1.1435085761810034E-8,MX25,Sinaloa,00000000000000000019
0.1110632467359719,9.79346673192405E-9,MX10,Durango,0000000000000000001a
0.11464378993489033,9.177801453901025E-9,MX32,Zacatecas,0000000000000000001b
0.18279703647790016,1.1163904284897501E-8,MX24,San Luis Potosí,0000000000000000001c
0.1603083042206807,9.713983685666896E-9,MX19,Nuevo León,0000000000000000001d
0.20667961112376274,1.2098418130487926E-8,MX28,Tamaulipas,0000000000000000001e
0.2812367095498545,1.879895298670239E-8,MX30,Veracruz,0000000000000000001f
