mean,CODIGO,ESTADO,system:index
2.5423873489826805E-4,MX02,Baja California,00000000000000000000
7.086061612849596E-5,MX03,Baja California Sur,00000000000000000001
6.946897157371869E-5,MX18,Nayarit,00000000000000000002
8.126079965708311E-5,MX14,Jalisco,00000000000000000003
9.386590275886294E-5,MX01,Aguascalientes,00000000000000000004
7.561244868439707E-5,MX11,Guanajuato,00000000000000000005
1.5209090620155733E-4,MX22,Querétaro,00000000000000000006
2.6577790401235805E-4,MX13,Hidalgo,00000000000000000007
7.172647219529623E-5,MX16,Michoacán,00000000000000000008
1.7779725814032806E-4,MX15,México,00000000000000000009
2.9139267758846707E-4,MX09,Distrito Federal,0000000000000000000a
1.1119099835053474E-4,MX08,Colima,0000000000000000000b
2.3922162011270328E-4,MX17,Morelos,0000000000000000000c
2.6110296146234206E-5,MX31,Yucatán,0000000000000000000d
2.3815512980771293E-5,MX04,Campeche,0000000000000000000e
3.0297243815640443E-4,MX21,Puebla,0000000000000000000f
1.6179993038121848E-5,MX23,Quintana Roo,00000000000000000010
5.916483718222376E-4,MX29,Tlaxcala,00000000000000000011
8.858917052335188E-5,MX12,Guerrero,00000000000000000012
4.657203357947315E-5,MX20,Oaxaca,00000000000000000013
1.0574904904986029E-4,MX27,Tabasco,00000000000000000014
4.585870606141372E-5,MX05,Chiapas,00000000000000000015
1.6332266789130715E-4,MX26,Sonora,00000000000000000016
1.4745670574387184E-4,MX06,Chihuahua,00000000000000000017
1.6087517694469424E-4,MX07,Coahuila,00000000000000000018
1.0187989166501634E-4,MX25,Sinaloa,00000000000000000019
9.231150186544756E-5,MX10,Durango,0000000000000000001a
7.264849339633277E-5,MX32,Zacatecas,0000000000000000001b
1.0766837698701958E-4,MX24,San Luis Potosí,0000000000000000001c
2.0183609292735334E-4,MX19,Nuevo León,0000000000000000001d
1.2738198900895492E-4,MX28,Tamaulipas,0000000000000000001e
1.6048105377048418E-4,MX30,Veracruz,0000000000000000001f
