mean,CODIGO,ESTADO,system:index
7.809936437308911E-5,MX02,Baja California,00000000000000000000
7.16852866397593E-5,MX03,Baja California Sur,00000000000000000001
1.3054898508472727E-4,MX18,Nayarit,00000000000000000002
1.2610391237334226E-4,MX14,Jalisco,00000000000000000003
9.661826769761972E-5,MX01,Aguascalientes,00000000000000000004
1.1628872351896282E-4,MX11,Guanajuato,00000000000000000005
1.2942395050125833E-4,MX22,Querétaro,00000000000000000006
1.5312475376921155E-4,MX13,Hidalgo,00000000000000000007
1.332646350050368E-4,MX16,Michoacán,00000000000000000008
1.4568538197849788E-4,MX15,México,00000000000000000009
2.0570649131929522E-4,MX09,Distrito Federal,0000000000000000000a
1.588209838179563E-4,MX08,Colima,0000000000000000000b
1.5583189082597697E-4,MX17,Morelos,0000000000000000000c
9.469648605100611E-5,MX31,Yucatán,0000000000000000000d
9.799929379189367E-5,MX04,Campeche,0000000000000000000e
1.2131589925931458E-4,MX21,Puebla,0000000000000000000f
7.716346947371383E-5,MX23,Quintana Roo,00000000000000000010
1.31730003898456E-4,MX29,Tlaxcala,00000000000000000011
1.3278602990055084E-4,MX12,Guerrero,00000000000000000012
1.0347371441682388E-4,MX20,Oaxaca,00000000000000000013
1.1587321222826176E-4,MX27,Tabasco,00000000000000000014
1.0649401258233451E-4,MX05,Chiapas,00000000000000000015
7.949635280473729E-5,MX26,Sonora,00000000000000000016
7.533676633772062E-5,MX06,Chihuahua,00000000000000000017
8.722409506892695E-5,MX07,Coahuila,00000000000000000018
1.1124025241697487E-4,MX25,Sinaloa,00000000000000000019
8.739303646836859E-5,MX10,Durango,0000000000000000001a
8.892562457520837E-5,MX32,Zacatecas,0000000000000000001b
1.1151575253197375E-4,MX24,San Luis Potosí,0000000000000000001c
1.1572775821255307E-4,MX19,Nuevo León,0000000000000000001d
1.1882031226018555E-4,MX28,Tamaulipas,0000000000000000001e
1.3713485985535523E-4,MX30,Veracruz,0000000000000000001f
