mean,CODIGO,ESTADO,system:index
0.02933273772222376,MX02,Baja California,00000000000000000000
0.02935018751914809,MX03,Baja California Sur,00000000000000000001
0.02663545575321188,MX18,Nayarit,00000000000000000002
0.024498862619453676,MX14,Jalisco,00000000000000000003
0.022636897717907986,MX01,Aguascalientes,00000000000000000004
0.024107374559492013,MX11,Guanajuato,00000000000000000005
0.024904684096642572,MX22,Querétaro,00000000000000000006
0.02617092220020061,MX13,Hidalgo,00000000000000000007
0.025550726605336523,MX16,Michoacán,00000000000000000008
0.02436996624853846,MX15,México,00000000000000000009
0.027669255149253058,MX09,Distrito Federal,0000000000000000000a
0.027598521817528348,MX08,Colima,0000000000000000000b
0.027596045492726064,MX17,Morelos,0000000000000000000c
0.02807549385117839,MX31,Yucatán,0000000000000000000d
0.027846946470511714,MX04,Campeche,0000000000000000000e
0.02502134652714183,MX21,Puebla,0000000000000000000f
0.027823035135282274,MX23,Quintana Roo,00000000000000000010
0.022981795947549084,MX29,Tlaxcala,00000000000000000011
0.02674343502477981,MX12,Guerrero,00000000000000000012
0.02561076967399116,MX20,Oaxaca,00000000000000000013
0.028534309251671917,MX27,Tabasco,00000000000000000014
0.0265241863110216,MX05,Chiapas,00000000000000000015
0.02833259543072725,MX26,Sonora,00000000000000000016
0.024388109400909675,MX06,Chihuahua,00000000000000000017
0.026803682308163292,MX07,Coahuila,00000000000000000018
0.028453578322561707,MX25,Sinaloa,00000000000000000019
0.023002509435174828,MX10,Durango,0000000000000000001a
0.022335243193976166,MX32,Zacatecas,0000000000000000001b
0.02514834498957011,MX24,San Luis Potosí,0000000000000000001c
0.02792022282063182,MX19,Nuevo León,0000000000000000001d
0.029800300868363116,MX28,Tamaulipas,0000000000000000001e
0.029873793298373984,MX30,Veracruz,0000000000000000001f
