mean,CODIGO,ESTADO,system:index
0.1245391642785467,MX02,Baja California,00000000000000000000
0.12104963514858508,MX03,Baja California Sur,00000000000000000001
0.11775565640255804,MX18,Nayarit,00000000000000000002
0.11707002336776738,MX14,Jalisco,00000000000000000003
0.11649085675385805,MX01,Aguascalientes,00000000000000000004
0.11660056708697039,MX11,Guanajuato,00000000000000000005
0.11694525310143056,MX22,Querétaro,00000000000000000006
0.11728518883368826,MX13,Hidalgo,00000000000000000007
0.11713582575600114,MX16,Michoacán,00000000000000000008
0.11651661723241877,MX15,México,00000000000000000009
0.11647366319798699,MX09,Distrito Federal,0000000000000000000a
0.11760112276605848,MX08,Colima,0000000000000000000b
0.11690876752488293,MX17,Morelos,0000000000000000000c
0.11850976768429793,MX31,Yucatán,0000000000000000000d
0.11826388904588139,MX04,Campeche,0000000000000000000e
0.11701321146601389,MX21,Puebla,0000000000000000000f
0.1183110365926492,MX23,Quintana Roo,00000000000000000010
0.11633968575393014,MX29,Tlaxcala,00000000000000000011
0.11734562316280542,MX12,Guerrero,00000000000000000012
0.11752413994420523,MX20,Oaxaca,00000000000000000013
0.1184100191837427,MX27,Tabasco,00000000000000000014
0.1179820549928959,MX05,Chiapas,00000000000000000015
0.12329126453714773,MX26,Sonora,00000000000000000016
0.12094172785089315,MX06,Chihuahua,00000000000000000017
0.12003334824038127,MX07,Coahuila,00000000000000000018
0.11964649425352611,MX25,Sinaloa,00000000000000000019
0.11768991170959014,MX10,Durango,0000000000000000001a
0.11675548785099545,MX32,Zacatecas,0000000000000000001b
0.11733256878976195,MX24,San Luis Potosí,0000000000000000001c
0.11922913309285971,MX19,Nuevo León,0000000000000000001d
0.11905977261176054,MX28,Tamaulipas,0000000000000000001e
0.11851494599060884,MX30,Veracruz,0000000000000000001f
