mean,CODIGO,ESTADO,system:index
8.654270349071376E-5,MX02,Baja California,00000000000000000000
8.367597079576966E-5,MX03,Baja California Sur,00000000000000000001
1.4487705552128428E-4,MX18,Nayarit,00000000000000000002
1.3915324698320192E-4,MX14,Jalisco,00000000000000000003
1.082754826617633E-4,MX01,Aguascalientes,00000000000000000004
1.2346759185457781E-4,MX11,Guanajuato,00000000000000000005
1.278504730330401E-4,MX22,Querétaro,00000000000000000006
1.376315676446344E-4,MX13,Hidalgo,00000000000000000007
1.544540232683306E-4,MX16,Michoacán,00000000000000000008
1.5012908475009503E-4,MX15,México,00000000000000000009
2.0603682635011186E-4,MX09,Distrito Federal,0000000000000000000a
1.6651748466254456E-4,MX08,Colima,0000000000000000000b
1.780470345606125E-4,MX17,Morelos,0000000000000000000c
9.349032108326412E-5,MX31,Yucatán,0000000000000000000d
1.0461662778297486E-4,MX04,Campeche,0000000000000000000e
1.300479255173348E-4,MX21,Puebla,0000000000000000000f
7.313646548832024E-5,MX23,Quintana Roo,00000000000000000010
1.283358402907553E-4,MX29,Tlaxcala,00000000000000000011
1.5569248082050147E-4,MX12,Guerrero,00000000000000000012
1.2229179019550643E-4,MX20,Oaxaca,00000000000000000013
1.3415460418931456E-4,MX27,Tabasco,00000000000000000014
1.2116615263477029E-4,MX05,Chiapas,00000000000000000015
9.818732803459627E-5,MX26,Sonora,00000000000000000016
8.859597780026494E-5,MX06,Chihuahua,00000000000000000017
9.661047001001081E-5,MX07,Coahuila,00000000000000000018
1.3101309688515864E-4,MX25,Sinaloa,00000000000000000019
9.729296839055057E-5,MX10,Durango,0000000000000000001a
9.459488296600617E-5,MX32,Zacatecas,0000000000000000001b
1.1349740093262193E-4,MX24,San Luis Potosí,0000000000000000001c
1.2381163302509492E-4,MX19,Nuevo León,0000000000000000001d
1.2149404961496764E-4,MX28,Tamaulipas,0000000000000000001e
1.404853415407732E-4,MX30,Veracruz,0000000000000000001f
