total_aerosol_optical_depth_at_550nm_surface,particulate_matter_d_less_than_25_um_surface,CODIGO,ESTADO,system:index
0.09987387629898963,9.324624832345283E-9,MX02,Baja California,00000000000000000000
0.12776610035839225,1.0976595015143447E-8,MX03,Baja California Sur,00000000000000000001
0.1427373010589992,1.3230921766592636E-8,MX18,Nayarit,00000000000000000002
0.17646043437787076,1.6104355942796584E-8,MX14,Jalisco,00000000000000000003
0.12148694610381024,1.1855422549505153E-8,MX01,Aguascalientes,00000000000000000004
0.20224324646322253,1.6416168284943085E-8,MX11,Guanajuato,00000000000000000005
0.2738740311848909,1.8206529556584573E-8,MX22,Querétaro,00000000000000000006
0.45594307594052563,4.341385730453306E-8,MX13,Hidalgo,00000000000000000007
0.2598340038725452,1.7171416404245474E-8,MX16,Michoacán,00000000000000000008
0.403885745178992,3.6327277618527146E-8,MX15,México,00000000000000000009
0.4536437811078253,4.559652937901521E-8,MX09,Distrito Federal,0000000000000000000a
0.25131862271496386,2.0192544615169786E-8,MX08,Colima,0000000000000000000b
0.35193476593285283,3.5551989690586934E-8,MX17,Morelos,0000000000000000000c
0.15040485857081837,1.05249125832409E-8,MX31,Yucatán,0000000000000000000d
0.16066487472373978,1.2752344564117047E-8,MX04,Campeche,0000000000000000000e
0.2961305329246753,2.585406894693382E-8,MX21,Puebla,0000000000000000000f
0.15366462611586007,8.373698200693842E-9,MX23,Quintana Roo,00000000000000000010
0.3672266577607429,3.708901971605918E-8,MX29,Tlaxcala,00000000000000000011
0.22600420371579344,1.6490029744332224E-8,MX12,Guerrero,00000000000000000012
0.16983435592314328,1.5139460652197987E-8,MX20,Oaxaca,00000000000000000013
0.21701114240799196,2.4261920169716637E-8,MX27,Tabasco,00000000000000000014
0.16288203374889218,1.846552005364062E-8,MX05,Chiapas,00000000000000000015
0.11614111526734709,1.0100182352903854E-8,MX26,Sonora,00000000000000000016
0.09460664422513264,8.030957479576436E-9,MX06,Chihuahua,00000000000000000017
0.12854862694889202,9.216433879403114E-9,MX07,Coahuila,00000000000000000018
0.13290263143202585,1.3113696804028997E-8,MX25,Sinaloa,00000000000000000019
0.1019835220123982,9.618928065799291E-9,MX10,Durango,0000000000000000001a
0.10196006596535,8.169839761510968E-9,MX32,Zacatecas,0000000000000000001b
0.17433562497210445,1.181850182575464E-8,MX24,San Luis Potosí,0000000000000000001c
0.15577881014821152,1.0277612287013943E-8,MX19,Nuevo León,0000000000000000001d
0.19910443070781259,1.0716928878970832E-8,MX28,Tamaulipas,0000000000000000001e
0.28249898550310365,2.0690244246513078E-8,MX30,Veracruz,0000000000000000001f
