mean,CODIGO,ESTADO,system:index
6.285780838417657E-5,MX02,Baja California,00000000000000000000
5.6727735385198775E-5,MX03,Baja California Sur,00000000000000000001
5.491269969282073E-5,MX18,Nayarit,00000000000000000002
5.794593349398832E-5,MX14,Jalisco,00000000000000000003
5.949655749166972E-5,MX01,Aguascalientes,00000000000000000004
6.261913119159303E-5,MX11,Guanajuato,00000000000000000005
6.571671721989134E-5,MX22,Querétaro,00000000000000000006
6.99232647812261E-5,MX13,Hidalgo,00000000000000000007
5.602229971116157E-5,MX16,Michoacán,00000000000000000008
8.322312230639273E-5,MX15,México,00000000000000000009
1.7976884825755197E-4,MX09,Distrito Federal,0000000000000000000a
5.820782842658062E-5,MX08,Colima,0000000000000000000b
7.570615533904104E-5,MX17,Morelos,0000000000000000000c
5.2713663231879323E-5,MX31,Yucatán,0000000000000000000d
5.167766997634887E-5,MX04,Campeche,0000000000000000000e
6.137675561549707E-5,MX21,Puebla,0000000000000000000f
4.9975586544907386E-5,MX23,Quintana Roo,00000000000000000010
7.129611294507443E-5,MX29,Tlaxcala,00000000000000000011
5.5071594271533054E-5,MX12,Guerrero,00000000000000000012
5.178025636160282E-5,MX20,Oaxaca,00000000000000000013
5.6755258091078173E-5,MX27,Tabasco,00000000000000000014
5.1923835011555584E-5,MX05,Chiapas,00000000000000000015
5.974235782140084E-5,MX26,Sonora,00000000000000000016
5.7564461801797635E-5,MX06,Chihuahua,00000000000000000017
6.111192765269826E-5,MX07,Coahuila,00000000000000000018
5.857579409157165E-5,MX25,Sinaloa,00000000000000000019
5.513426919582807E-5,MX10,Durango,0000000000000000001a
5.45909698771413E-5,MX32,Zacatecas,0000000000000000001b
5.9156772826428037E-5,MX24,San Luis Potosí,0000000000000000001c
6.510979737553684E-5,MX19,Nuevo León,0000000000000000001d
6.112308916380139E-5,MX28,Tamaulipas,0000000000000000001e
6.061830023496636E-5,MX30,Veracruz,0000000000000000001f
