,PM10,PM2.5,SO2,CO,NOX,COV,NH3
Fuentes de área,1439754.427,1087921.513,62314.09269,7499995.059,702304.0119,6880874.405,1617619.972
Fuentes fijas,234417.5658,166469.2981,1606288.189,357582.058,693366.6076,173450.8452,6107.232398
Fuentes Móviles,101801.8904,97679.63612,73223.98138,7132917.983,2300600.304,533115.5852,29839.83737
Fuentes naturales,0,0,0,3320129.26,20764848.97,0,0
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
