SECTOR,CVE_ENT_1,ENTFED,PM10,PM2.5,SOX,CO,NOX,COV,NH3
Alimentos y bebidas,22,Querétaro,18.978864,8.988804,309.0671652,42.8764,91.0465,5.3053,1.8178
Alimentos y bebidas,23,Quintana Roo,2956.203869,1687.181673,8.1744,0.8418,292.1511629,0.0346,0.1348
Alimentos y bebidas,24,San Luis Potosí,8600.975352,4912.177101,578.8978747,24.30818609,917.7311739,25.91900283,1.598703242
Alimentos y bebidas,25,Sinaloa,2242.389367,1295.094523,5906.334286,57.05971193,759.4289376,15.98797759,8.877661908
Alimentos y bebidas,26,Sonora,873.4162376,318.0773948,4468.616838,43.49428106,432.3565627,5.586164142,6.456968002
Alimentos y bebidas,27,Tabasco,7802.115397,4454.071598,228.5263635,639.256772,829.2247328,189.3283411,1.084522168
Alimentos y bebidas,29,Tlaxcala,43.912567,12.734977,954.1967678,4.95849,133.6930644,0.00502,0
Alimentos y bebidas,30,Veracruz de Ignacio de la Llave,37988.85059,21578.44231,6258.854882,142.7456415,4353.09257,11.70256067,11.95307864
Alimentos y bebidas,31,Yucatán,25.29709731,15.51248191,569.7882967,30.03872554,102.3299304,2.657321832,1.849940317
Almacenamiento de combustibles,6,Colima,0.21427104,0.21229518,0.6893556,0.54885,2.63448,0.021954,0.087687935
Almacenamiento de combustibles,11,Guanajuato,0.326127831,0.284893278,5.8633848,0.04914,0.566748,0.00746928,0.007850934
Almacenamiento de combustibles,16,Michoacán de Ocampo,0.28,0.1923,2.587303703,0.0563,0.4422,0.0048,0.0035
Almacenamiento de combustibles,19,Nuevo León,0,0,0,0,0,0.6147,0
Almacenamiento de combustibles,21,Puebla,1.3936,0.9077,25.0642,0.21,2.3106,0.0116,0.0337
Almacenamiento de combustibles,30,Veracruz de Ignacio de la Llave,0.2063,0.1343,14.3041,0.1199,1.3187,0.024435,0.0192
Asbesto,8,Chihuahua,0.008244966,0.008244966,0.000650918,0.091128576,0.1084864,0.005966752,0.003478345
Asbesto,9,Distrito Federal,0.001078438,0.001078438,0.0000696,0.005751669,0.034150532,0.000498973,0.0006195
Asbesto,13,Hidalgo,0.009137244,0.009137244,0.000589698,0.04873197,0.289346072,0.004227631,0.005248817
Asbesto,14,Jalisco,0.059853457,0.059853457,0.004725273,0.66153821,0.787545488,0.043315002,0.025250677
Asbesto,15,México,0.457158636,0.457158636,0.034384435,4.375266885,8.207894722,0.299918649,0.210937715
Asbesto,27,Tabasco,0.18433076,0.095094919,0.0082,0.3341,0.6028,0.0099768,0.0012
Automotriz,1,Aguascalientes,170.381426,105.6979641,0.1617,26.8446,34.8305,14696.59613,0.8329
Automotriz,2,Baja California,9.158426014,7.031648853,0.233231323,34.53072431,34.71090141,718.7585491,1.303688129
Automotriz,5,Coahuila de Zaragoza,1254.303465,1170.884097,1.669612677,154.200813,191.6185208,13191.23585,5.945514729
Automotriz,8,Chihuahua,1.459983052,1.459977515,0.117146428,16.13155564,19.20978518,1.056193621,0.615922762
Automotriz,9,Distrito Federal,8.608022399,6.131646163,1.666902523,7.04106532,15.94594775,110.2999109,0.455932831
Automotriz,10,Durango,1.162809908,0.85875571,0.0017,0.3095,0.3782,68.8678,0.0114
Automotriz,11,Guanajuato,287.0205453,255.8608565,44.88431606,63.42970244,84.01743211,2106.696678,2.480730684
Automotriz,13,Hidalgo,0,0,0,0,0,13.113256,0
Automotriz,14,Jalisco,0.334343048,0.334331462,0.03033862,3.684701702,4.398166536,0.241178238,0.141035096
Automotriz,15,México,754.3012761,555.3867437,6.702881545,92.17132128,192.9889052,3584.950309,4.495742558
Automotriz,17,Morelos,42.30043169,31.61335017,520.1407,12.2344,61.8249,970.502022,0.7009
Automotriz,19,Nuevo León,197.3934013,146.1439398,1.880333986,245.3296692,316.3968916,448.7445066,9.359911959
Automotriz,21,Puebla,20.03418654,14.81517949,0.367371063,55.7895488,68.89721048,1153.115418,1.964179742
Automotriz,22,Querétaro,27.27589226,22.25264234,0.277199566,40.58559851,49.95248509,527.0638251,1.459178472
Automotriz,24,San Luis Potosí,53.37278573,47.07081342,0.393879123,34.49433507,40.49636443,461.9005999,1.325191666
Automotriz,26,Sonora,302.552829,275.1980494,0.177680864,18.908944,23.0028912,1341.892551,0.717223006
Automotriz,28,Tamaulipas,3.418579823,2.540042362,0.822736957,8.916088012,13.85965218,62.80317073,0.390276504
Automotriz,32,Zacatecas,0.022428631,0.022428631,0.001447494,0.119619367,0.710239993,0.010377305,0.012883948
Celulosa y papel,2,Baja California,10.20112693,9.474109894,103.730223,50.0622976,68.55921048,302.3527635,2.018731905
Celulosa y papel,5,Coahuila de Zaragoza,4.79092,4.498712,0.3206,44.8776,53.4257,76.48354,1.7153
Celulosa y papel,8,Chihuahua,10.735456,10.735456,0.847341263,118.6547768,141.2558105,7.769061578,4.531067375
Celulosa y papel,9,Distrito Federal,9.6314,8.50286,0.551,77.2818,189.048,95.3794,2.948836116
Celulosa y papel,10,Durango,8.8376,8.8376,0.6977,144.5409239,201.0706081,6.3957,3.7334
Celulosa y papel,11,Guanajuato,0.93930579,0.939275475,0.075349342,10.58300102,12.6232496,0.691959848,0.402224322
Celulosa y papel,13,Hidalgo,1.093635859,1.074181359,1.207893922,137.5350577,164.420394,9.004032289,5.277281712
Celulosa y papel,14,Jalisco,91.79506123,62.34666127,1552.148196,74.0692986,314.1171705,61.35060479,4.41481956
Celulosa y papel,15,México,96.73914764,72.07058525,1215.309869,269.1947538,393.992211,2411.978923,11.71513472
Celulosa y papel,16,Michoacán de Ocampo,36.12190879,29.69291796,172.7777131,78.0497949,147.6558697,37.70570117,3.180579233
Celulosa y papel,17,Morelos,49.6440992,32.7973464,854.573,14.9244,92.232,36.87858,1.1671
Celulosa y papel,19,Nuevo León,39.00050299,34.11541322,1.17438376,164.2944025,240.5967316,86.84214909,6.27842157
Celulosa y papel,20,Oaxaca,0,0,0,0,0,0,0
Celulosa y papel,21,Puebla,17.82732593,15.57329621,320.5138044,2.68617,30.980494,0.40829784,0.429160427
Celulosa y papel,22,Querétaro,64.02428418,46.75700268,872.6224236,158.9177041,236.8142057,388.1595663,6.967197223
Celulosa y papel,24,San Luis Potosí,33.0887253,21.7371253,2223.045357,24.51861642,211.9462434,1.428824885,3.205643484
Celulosa y papel,25,Sinaloa,228.5505439,149.4448294,4080.856445,36.9933929,386.3979799,2.030772689,5.61092858
Celulosa y papel,26,Sonora,66.406,43.01958,1112.9954,9.3278,102.606,134.7124,1.4924
Celulosa y papel,28,Tamaulipas,2.709108698,2.709108698,0.213832266,29.94241718,35.6456776,217.6455458,1.144400544
Celulosa y papel,29,Tlaxcala,75.63665508,58.64875325,7.317076533,189.0252237,562.450413,8.332679584,3.279905997
Celulosa y papel,30,Veracruz de Ignacio de la Llave,57.2849,39.255932,392.1182,146.0712,400.7411,9.2435,5.8504
Cemento y cal,1,Aguascalientes,367.6908649,224.5196106,2702.188624,4790.447277,8148.533659,5.6104,0.0536
Cemento y cal,2,Baja California,14.94071664,9.401734759,190.7167275,10.2951,360.3285,1.201095,0
Cemento y cal,5,Coahuila de Zaragoza,230.7171052,104.6410811,1000.904238,223.7436712,1814.050811,21.3752366,6.413881711
Cemento y cal,6,Colima,125.8850654,62.6969837,186.0772,753.0511,1210.1068,0.0454,0.1172
Cemento y cal,7,Chiapas,43.17818083,23.01162779,274.8879185,3.9779262,70.12390884,0.556630382,0.309267439
Cemento y cal,8,Chihuahua,222.4790515,123.0568438,133.4312301,89.20012267,1295.070182,15.04430945,1.477199749
Cemento y cal,10,Durango,57.62286666,34.91760025,0.0497,6.9579,8.2832,0.4557,0.2659
Cemento y cal,11,Guanajuato,13.61516736,13.32862924,1.7980426,83.5828446,252.3262581,34.7989702,2.1383
Cemento y cal,12,Guerrero,10.05084511,5.94269087,184.7908021,7.348186153,178.1759932,1.188209176,0.155418069
Cemento y cal,13,Hidalgo,1824.334132,1258.226695,6413.557031,2765.936861,10834.67451,257.347229,20.55525673
Cemento y cal,14,Jalisco,121.0912276,85.77902486,563.2581877,440.9099373,1982.870839,15.81158015,1.627776772
Cemento y cal,15,México,435.5195056,226.6781707,634.3360886,45.02340196,720.144546,4.517643753,0.700485906
Cemento y cal,16,Michoacán de Ocampo,0,0,0,0,0,0,0
Cemento y cal,17,Morelos,378.5991114,242.7280909,84.62111835,1659.155142,5339.352882,5.43820568,0.09839002
Cemento y cal,19,Nuevo León,95.92592898,52.90640809,731.8747863,153.9547808,2659.237289,21.06211195,3.257544756
Cemento y cal,20,Oaxaca,105.8602114,99.20087213,658.019029,1455.020915,8263.560195,4.591848,0.470537868
Cemento y cal,21,Puebla,339.0791645,195.0978336,2088.685765,780.2657264,2506.28506,20.25517845,3.439281995
Cemento y cal,22,Querétaro,414.3696987,392.2050281,30.87938516,369.9198684,527.9409875,0.88101548,0.303092
Cemento y cal,24,San Luis Potosí,718.5761886,435.8521931,9162.737239,180.9862947,4011.986909,17.088898,11.50132952
Cemento y cal,26,Sonora,988.6276943,636.7203103,1962.287443,109.3678002,2321.801225,12.52546606,0.921156427
Cemento y cal,27,Tabasco,191.978189,103.5501732,5914.70442,1482.718019,874.5480171,3.214777755,0.839360691
Cemento y cal,28,Tamaulipas,4.51495263,1.76083053,7.61037759,0.3444,8.0351,0.0443,0.0003
Cemento y cal,30,Veracruz de Ignacio de la Llave,417.610165,325.3617738,1922.172692,64.43111256,1699.544823,6.9876923,2.001789582
Cemento y cal,31,Yucatán,35.97858323,14.05506632,1428.951332,19.2725687,446.4812029,2.4658323,0.01840718
Cemento y cal,32,Zacatecas,0,0,0,0,0,0,0
"Cuero, piel y materiales sucedáneos",5,Coahuila de Zaragoza,0,0,0,0,0,6.463913105,0
"Cuero, piel y materiales sucedáneos",9,Distrito Federal,0.880514484,0.625478707,0.000230497,0.037514093,0.051253065,1.047672255,0.00098432
"Cuero, piel y materiales sucedáneos",11,Guanajuato,14.80373348,14.79501651,2.272496542,78.4956834,465.938194,6.804789297,8.460223798
"Cuero, piel y materiales sucedáneos",13,Hidalgo,0,0,0,0,0,0,0
"Cuero, piel y materiales sucedáneos",14,Jalisco,0.44528483,0.29539483,0.257030311,0.509422982,2.5725,10.66239618,0.0363
"Cuero, piel y materiales sucedáneos",15,México,0.062182924,0.050531563,0.050192922,0.255737159,0.331635934,1.793032333,0.010042818
"Cuero, piel y materiales sucedáneos",30,Veracruz de Ignacio de la Llave,0.0152,0.0106,0.0354054,0.0815,0.4215,0.0063,0.005
Derivados del petróleo y carbón,2,Baja California,7.019555,4.327665,117.59519,4.003026,17.172864,1578.2455,0
Derivados del petróleo y carbón,8,Chihuahua,1.7905,0.4526,0.5019,0.76242816,2.1432,0.0388,0.0827
Derivados del petróleo y carbón,9,Distrito Federal,0.994755721,0.590230583,1.020629551,12.10988122,20.18225147,4.816849678,0.231542118
Derivados del petróleo y carbón,11,Guanajuato,29.78503239,27.27260115,21.29252815,137.3164537,811.2490989,11.81406707,14.6910912
Derivados del petróleo y carbón,13,Hidalgo,0.484991722,0.34358422,8.46736716,0.569993268,2.279741828,1595.269237,0.091104331
Derivados del petróleo y carbón,14,Jalisco,42.73023792,27.78561572,3.904700015,7.9711,35.892,2.422215,0.321576046
